[236.24495659 335.59805582],[276.62209136 330.40352516],[302.51587073 307.51080323],[323.67176811 284.17389479],[338.06193452 266.04467396],[278.53604759 261.25967904],[306.67623166 238.34699648],[326.53681285 234.00319012],[340.94552584 231.55569184],[259.02436071 248.29329446],[268.44714005 211.757203  ],[280.94605481 182.237754  ],[295.0695292 157.7094007],[238.53375506 244.68972287],[229.90293956 210.38455797],[229.50409959 181.14992842],[234.5323686  156.74478233],[222.03681298 251.77001954],[209.92676212 220.85905352],[205.56801542 196.35722069],[203.85742192 173.13993763]
[220.87285334 339.61093149],[257.72216438 331.54375366],[287.57602768 310.56071973],[312.51457722 289.10663148],[325.55509784 276.35345629],[260.10818383 258.99113698],[287.89070166 231.02737221],[305.4811431  224.09892962],[316.3703812  223.30927566],[240.10865237 248.99995591],[246.60379996 208.04450282],[255.27814792 173.45729366],[263.19988131 145.37025318],[220.21085804 249.55500552],[214.77267441 212.75867751],[214.07049628 181.3597038 ],[214.70575978 156.29346657],[201.79451927 258.87778016],[191.75654824 229.04696564],[187.54776927 206.02642299],[183.66140244 185.51454931]
[224.23420977 337.41941434],[260.41091461 328.59572433],[289.33741036 308.20060837],[314.59514644 286.63970946],[326.91688106 273.82803013],[262.52441962 255.52931067],[290.70435311 229.75852066],[309.72679241 222.35384048],[321.13933957 220.10280844],[242.00257316 245.98845746],[247.8230164  206.22765599],[257.01525356 172.65598498],[264.64220505 144.78732223],[222.65627568 246.98894805],[213.87946885 210.55194654],[213.77583847 178.93277321],[215.02052612 153.55393826],[205.63382065 256.76992792],[192.66492847 228.00291415],[188.49103751 204.13717926],[184.67181385 182.46087443]
[222.16510051 328.85636054],[259.40956956 319.93430797],[288.22118285 298.34269364],[311.89861074 278.13391266],[321.6785083  265.84054623],[259.49764938 248.03771686],[284.33062981 218.62305744],[301.03909191 212.68047574],[310.61225905 212.7146421 ],[239.35064611 240.3517786 ],[243.7735017  197.98557397],[251.36728878 164.73735106],[258.35002344 137.70480136],[220.28239164 243.01821513],[213.35646305 204.74517782],[213.66769301 175.10735971],[214.02904737 152.535368  ],[203.06547906 252.54647446],[192.16702351 223.60311205],[188.44882191 200.45483197],[185.20384337 179.34737486]
[225.49725465 325.79578262],[260.96895774 314.00314596],[289.56291257 294.69417929],[315.50695784 275.62659582],[329.53116197 263.30670871],[264.80629294 239.34014493],[292.66634348 217.87084909],[309.70684946 224.7321846 ],[318.91960633 234.6105938 ],[246.21005597 231.35243965],[253.82251675 192.39764548],[262.30430108 159.87137256],[271.64731609 131.56949419],[227.30821452 232.9073998 ],[218.71409406 195.60263134],[219.4371348  165.85634837],[223.23140267 142.96048918],[209.36109755 241.44279476],[198.83765798 212.62811033],[197.4148706  189.59213861],[197.9191299 168.3133838]
[227.57085717 310.09035059],[267.03098882 299.29787185],[293.51035216 283.70800589],[317.54803658 267.85421023],[329.36544127 255.48585159],[269.72554599 233.5053529 ],[293.63792102 208.87118255],[313.83419152 209.68573446],[325.81488544 214.51789446],[249.59784158 225.25652655],[251.15181603 182.98588997],[257.75567887 151.4638423 ],[265.55179682 125.87540415],[230.35452362 225.48981915],[220.00723723 185.96638129],[220.41398837 158.03787422],[224.31725589 138.45654502],[213.26200532 231.21332217],[201.6754346 200.0311375],[198.17590202 177.94115885],[196.9845048  159.06741013]
[224.31441096 303.09716636],[260.21591938 295.43271282],[289.36146571 279.07753717],[313.4625714  260.91828751],[325.914016   247.87680356],[263.88821942 224.80250176],[292.72070837 202.99892304],[313.48906101 208.71677176],[325.73453685 218.21737294],[245.68352348 216.89106811],[253.46625686 175.91628293],[263.8419223  143.52266668],[274.21948399 115.8797104 ],[227.5106064  217.88293423],[219.23803471 181.98901497],[220.57115914 152.57651023],[224.06681842 130.40185839],[211.028167   226.09676297],[201.63964069 200.37554624],[198.78735526 178.33987171],[197.22597606 158.67508946]
[218.86347611 304.11313642],[256.05727969 296.06945936],[286.0852228  280.17363828],[310.78368293 262.42037619],[321.43195712 247.60540541],[260.84808404 225.58074256],[289.98883171 203.38710047],[308.8628169  208.53462371],[320.6898313  217.16139518],[241.99003403 214.91238926],[251.41912045 177.48293604],[263.65448649 145.12372658],[278.18222425 117.95372018],[223.29720144 214.20689644],[215.33751818 179.19993916],[216.01136957 149.24245823],[221.87452159 126.23590792],[206.42869365 221.96454886],[195.8123597  195.16661154],[191.55896271 172.99927273],[190.08527523 152.63665073]
[216.42523442 305.84732028],[257.38645931 294.93259407],[286.54854711 280.30069405],[310.38195792 259.64258324],[317.12272611 240.39231823],[260.11222888 222.01898487],[288.44300862 202.63267235],[306.75715864 212.73238967],[317.51944299 224.07653448],[239.58325256 212.50304632],[251.63086499 175.15940196],[266.17771528 143.45856402],[279.61031789 116.56287425],[219.28034867 213.33082747],[211.61039684 178.93869457],[213.93678087 145.55313256],[218.87026363 118.19341023],[201.93746478 224.22016336],[190.23676109 197.04820934],[183.94951851 173.81199334],[180.95434538 150.26359775]
[210.04747438 303.46476   ],[260.57605081 295.54226433],[289.68120809 278.88203331],[310.96445849 262.57541778],[312.09578439 248.71263666],[269.68147757 212.7465497 ],[299.06540916 203.61901168],[314.1645466  228.60431403],[316.44666837 251.10491428],[242.94564871 208.85658371],[249.48262696 155.63631704],[264.40020616 118.91233525],[273.88464057  88.54890594],[218.56921301 212.90620971],[211.42433894 171.64244859],[220.33762586 133.58230015],[228.13322194 101.6638389 ],[197.54514078 226.76989408],[186.60321542 201.67768443],[182.99917409 180.35160189],[179.87677852 156.54705534]
[213.49969765 308.54647285],[259.26391814 296.03141011],[291.04946003 274.73848462],[310.85612745 250.94716141],[310.95801507 235.87100468],[266.71501005 213.77629184],[298.17944637 199.69758805],[313.85667657 218.45556901],[320.53972409 233.304188  ],[241.69886819 210.63274025],[254.01747447 158.91508294],[271.05057235 121.64128364],[283.60808652  90.13622427],[219.51999828 215.60207601],[215.09309789 172.9903998 ],[222.53168105 133.38544381],[229.74373121  98.60776851],[200.79021754 229.85959248],[188.6682408  201.13442549],[183.63490487 178.16055753],[179.45001027 151.56496104]
[210.97377463 305.23229179],[260.78603991 293.89370872],[291.34062325 273.70621283],[315.87819559 260.69180911],[320.93294426 250.13030455],[273.23352912 209.44357181],[303.75726874 199.73414254],[320.07893788 227.19626791],[324.05156101 247.48663749],[244.91218757 208.72381919],[255.43664656 154.41223731],[274.31255816 119.09287739],[285.11363656  87.74811085],[219.1934555  215.47626694],[213.76746155 169.57755356],[227.35921423 131.99361315],[237.6350067   98.61726109],[197.20654015 233.11703012],[186.2631968  203.56156843],[184.70370324 181.05961067],[182.16537234 154.87823289]
[218.17022256 295.27880335],[264.65013567 281.434711  ],[292.03625187 265.05455417],[315.06867358 243.83805857],[319.90163163 232.12084101],[271.31854762 214.6209468 ],[304.55290719 196.70720278],[320.71508743 208.24923362],[323.87121235 212.47300335],[245.34667864 212.04162066],[258.110355   161.88537563],[275.5650084 128.7257387],[283.94444946 100.93584848],[224.46713525 216.63565014],[217.51519049 171.733507  ],[230.22178749 132.80540439],[240.80856595 101.84591352],[207.24490441 230.50470724],[189.73447019 189.91101328],[186.68002409 166.90753867],[185.56228243 146.54040924]
[224.15629786 297.15642662],[260.90356695 285.78177024],[293.24803317 270.28841521],[319.90828002 250.2094426 ],[325.95825041 230.97545762],[271.72501789 211.91340039],[297.55097189 188.73363809],[313.88177565 201.17723392],[325.1829738  215.39807735],[249.79523954 202.34943029],[262.28137637 159.53969765],[277.14720151 128.27005389],[291.43993752 101.98836322],[229.24283827 201.46223622],[223.35834431 164.25852753],[222.71034087 132.60147991],[227.31547218 106.28555162],[210.57396075 210.22528909],[199.7226422  182.80288344],[191.97832433 160.11784875],[188.57188765 135.1333775 ]
[221.99380127 301.06327416],[269.65922435 287.02533858],[298.12706906 267.19882374],[319.06723483 246.4804745 ],[323.7214973  232.12717854],[275.38679923 210.41730559],[306.83541851 195.7409611 ],[324.25649983 215.53525701],[330.07589808 228.84701323],[250.10612585 207.55674183],[261.12071906 157.47750156],[278.44333662 123.90837984],[288.28393069  96.58088985],[228.80293204 211.94857866],[220.49420575 168.35025641],[230.69269794 129.68832745],[238.32608074  98.26199429],[210.62514999 226.88267688],[195.24496115 192.46599108],[192.10264966 169.52002277],[188.96969954 146.40444489]
[216.77769336 291.08931942],[266.21304479 282.0186136 ],[293.82662762 267.89836316],[315.86081629 250.23051943],[321.64174066 238.14147459],[273.94362476 207.61966676],[303.30409078 193.37755063],[319.83424031 214.67653518],[322.54248221 227.49177816],[244.50824875 207.49108821],[256.36477313 153.36228889],[275.81544021 120.98766428],[283.96103925  92.64890321],[221.15501961 214.29588995],[212.77948615 166.78972841],[227.98446822 129.41628565],[238.13014762  98.03285119],[202.71619536 231.6951907 ],[185.84968341 195.19505441],[183.20417031 172.58178668],[179.77527046 149.55782842]
[219.68016888 291.04629785],[256.18643155 282.78764591],[288.42657389 269.941206  ],[314.57388208 254.15972979],[320.71527778 237.8031922 ],[267.45895838 210.37182812],[296.73824607 191.47486835],[314.94108863 207.58625794],[326.6680321  223.64981559],[246.7163642  199.71282297],[261.29971934 156.50080546],[278.32984099 125.14477741],[294.81941456  99.16476165],[226.90067154 200.11350276],[222.7248466  161.39546221],[223.54428376 129.62836671],[228.30436128 104.73949658],[210.0764501  208.85229004],[199.75927501 181.02351089],[193.07808725 158.96165746],[190.36975034 135.88245423]
[219.25430434 300.78510936],[267.46387631 286.67484283],[297.29694116 271.22836921],[319.98294238 253.03997724],[325.50743361 241.15970927],[271.18059118 213.33792531],[302.04243265 198.51793759],[320.3597579  214.69014335],[329.65300652 227.65859971],[246.12808927 208.34937711],[260.78926456 163.20688553],[279.72338216 128.73016982],[291.67654562 101.18080184],[224.44772261 211.76795309],[219.08138597 172.08946497],[226.33691611 133.62170694],[232.53341495 101.24154523],[207.5711823  226.88805937],[192.16175468 196.74848771],[188.0275305  174.82030689],[185.95510221 151.77146442]
[220.21468838 298.4750232 ],[270.002199  290.1409303],[296.1852159  272.41022319],[315.15586838 251.14834613],[319.64234754 237.9537462 ],[272.89157393 212.22184693],[303.41654008 198.95637014],[323.50971518 213.49257861],[332.22850991 224.08380304],[246.07315457 209.91201515],[256.99166618 163.18414219],[275.49831034 128.80861943],[288.29592896 100.19302482],[224.64783904 213.03452752],[214.48244668 171.89223462],[222.83601653 131.50074155],[230.13433676  96.91840018],[208.54112373 226.21404498],[191.14722126 197.53464212],[186.54240024 175.68936263],[182.76740554 150.32285522]
[220.01307861 313.76059521],[261.38857368 301.28028189],[293.84104038 280.23392685],[310.59454797 259.1972112 ],[309.60175481 245.41029556],[266.09380916 218.37262849],[299.20857299 204.27451131],[317.87408874 223.96707282],[329.39610704 239.66148812],[243.43896248 210.38443133],[256.09597347 164.21667709],[271.95253657 126.83805472],[285.54904575  90.59338376],[222.53460229 213.28230039],[217.68468608 172.36826749],[222.55313688 136.55970923],[228.25821976 102.62022234],[203.65584314 226.41282063],[190.68659877 199.54659631],[185.31394869 177.82221975],[180.8479399  151.45127947]
[217.34346786 316.68062311],[259.19603213 305.31156839],[288.52924814 287.39934116],[313.83524877 267.20234337],[324.43215992 251.71642294],[260.08620299 225.99393444],[291.71328564 205.63144348],[313.5744361  216.00477095],[327.05256744 228.21893544],[240.05433505 217.91380291],[251.38148204 178.82368164],[266.02235346 145.30418332],[281.115109   114.72200072],[219.54912494 219.46673982],[210.49401387 183.06698152],[211.88424848 149.28361007],[217.24756629 121.16289327],[201.27286857 230.77396   ],[188.18940332 202.91884233],[183.00713259 178.49285186],[180.80666299 153.91250571]
[220.78505773 321.89519086],[260.08617227 314.96314604],[290.74302    295.57178986],[315.6042016  278.50890994],[325.6775395  269.25485202],[263.21576896 237.94568191],[291.30357676 216.11119852],[312.83319974 223.10009102],[325.93917567 230.57129848],[242.15324743 230.39384948],[245.26617894 186.49944387],[254.25335613 150.63855598],[265.26883956 118.44730752],[222.39476661 232.24722493],[213.24558142 191.32727371],[214.58819338 158.47825952],[218.45638604 132.3424384 ],[203.88898895 241.34824886],[193.58430163 210.08709913],[189.5700438  185.48343083],[186.13854534 162.56542934]
[233.29376294 332.33899524],[277.95460665 324.16834615],[306.74586775 307.70587534],[330.4209324  291.76750403],[339.48541028 281.44060153],[283.52867596 248.85635712],[312.02148874 229.6292007 ],[331.09911432 232.59391589],[346.48848554 236.58962462],[260.22590985 240.26351341],[271.4768783  203.39047925],[286.10704699 174.94271321],[304.1186284  148.45050797],[238.26199226 239.89145157],[229.91556913 202.36796718],[230.64415756 171.28793784],[238.69130701 145.25682443],[218.03502138 249.05557576],[205.89294365 216.62539748],[202.3811509  190.56252422],[204.44420241 165.36583506]
[257.94649697 319.53197448],[294.65992236 318.8884992 ],[320.3593058  300.16299146],[345.22875544 289.09216458],[362.45102247 280.67031906],[304.46517948 248.28026583],[334.21014402 223.51166945],[353.62500228 225.64717917],[370.05254544 228.97007348],[283.85937248 239.47141423],[297.96844648 197.52480547],[312.81154824 170.00203353],[331.72931983 144.74915717],[263.46959312 238.53322987],[254.21621883 194.1507306 ],[251.69901699 163.10980802],[257.09726067 138.25797601],[245.7042242 245.7768189],[228.77905662 209.54921365],[222.57471324 185.03959073],[221.30110633 163.70627885]
[275.31753808 307.39449316],[315.8761361  305.05190014],[346.87865713 294.13706295],[374.01248102 284.67155401],[390.16654216 279.63632424],[324.68804332 235.81558405],[355.56994753 217.81803124],[378.6264069  224.03188436],[395.62273894 233.5295953 ],[302.76887453 228.95462292],[311.28421371 189.10678529],[330.56319767 158.61369074],[352.32864684 136.74488924],[281.55151999 229.6810057 ],[273.5088735  188.59774606],[278.95461011 157.0243808 ],[288.48178469 136.11356028],[264.56557456 237.20342502],[255.85795452 203.90136248],[256.0390564  180.32521856],[258.58161861 162.54903645]
[291.9302205  296.63394597],[330.48920784 295.99053169],[360.51730977 281.28946441],[389.6600798 273.2051037],[410.35233108 271.98691309],[336.0657193  226.02843373],[368.26366144 206.39093687],[392.42286021 215.07903747],[410.82330923 224.79132478],[317.63613792 220.9905081 ],[333.16646479 177.85918335],[356.78775659 150.98698339],[383.02277104 128.71070925],[299.73374608 222.89407475],[295.47903667 179.43610152],[301.8427304  149.95111007],[312.48352904 126.97002567],[284.85098238 232.70429439],[274.73080159 197.39436999],[273.81623078 175.13760474],[277.13016658 156.58672465]
[300.51226572 288.12542615],[349.98044601 277.93282667],[381.36713844 268.82699173],[410.38086567 264.70547686],[420.794417   268.16802232],[358.55056231 214.92988362],[390.47408056 202.80058055],[411.9396282  216.50688596],[426.2148782  225.54789503],[335.79368925 210.58785813],[348.06592929 159.42665492],[366.64382192 122.52023711],[383.52686664  89.73823803],[315.61527029 214.23539146],[312.15275412 164.65219877],[324.29644331 127.43957328],[338.39812513 100.48101364],[300.29389569 224.63714144],[292.52588224 193.9370706 ],[291.90749332 174.05271601],[293.6545929  153.79404857]
[330.53741865 259.37074815],[366.87998313 259.41160685],[392.83252269 245.08989681],[416.79880755 239.47607651],[432.71287349 238.81805421],[374.60903126 193.46797555],[402.12790328 172.98956387],[421.53613573 171.73896523],[436.79358242 172.78819206],[354.97615652 187.70347277],[368.51256219 148.41106089],[383.55528932 121.14547043],[399.05594276  98.04997567],[335.97582678 189.9741166 ],[330.76050092 152.83606337],[331.39484362 126.96560691],[335.49732272 105.16688334],[321.36730797 197.89055895],[309.08885408 170.09388411],[305.04080523 150.60203555],[306.09066046 131.17455847]
[334.93253697 264.02620347],[374.71665488 256.0732394 ],[403.95109447 245.64690835],[427.61841983 238.63266271],[443.99628241 237.38582456],[384.76221734 182.5660049 ],[414.06571108 176.8237709 ],[432.87165771 201.86780424],[444.75385415 223.25260047],[367.9810227  176.29181321],[382.48562352 142.19546799],[404.1778461  116.93465642],[424.10915969  93.81270692],[349.35249753 182.23801621],[338.54403504 143.30882945],[343.24861416 111.89482799],[353.39983617  85.71451385],[333.7108742 198.5847833],[318.84358048 168.03276147],[313.78884244 144.49181572],[313.66092401 121.96619507]
[312.82979686 277.52581984],[354.53536523 269.36251081],[387.11035957 258.29256991],[417.56501533 247.33816909],[435.26673221 236.64540682],[375.06558149 190.97293848],[409.74677235 188.37089641],[429.24999521 214.30315572],[436.53477854 234.6975199 ],[358.72886355 179.33970762],[370.68909551 138.86130124],[392.69124132 109.52323729],[413.92022849  84.56174136],[339.57123334 180.59557879],[328.10922101 138.92523946],[335.91737681  99.81629034],[347.0241211   68.98148328],[322.86204267 194.96029613],[308.44391315 166.21891928],[305.10404821 142.77887419],[306.59626511 120.05245301]
[301.53345548 271.63204376],[352.15102086 260.13613199],[380.97142338 247.49564911],[408.77236106 238.07348563],[423.80383305 235.03191798],[357.98322451 182.70790383],[392.2844922  171.91269032],[415.45016406 193.60368307],[427.99827022 209.45439972],[336.92616853 175.38843912],[346.78151741 129.2128711 ],[363.31325588  92.0295884 ],[378.62968069  61.12010394],[317.93650775 179.13429448],[309.39837371 133.42691917],[319.02296273  96.26931066],[332.65629583  66.90747777],[300.99509065 192.98671208],[287.89313845 165.51728681],[286.60946811 146.89710535],[289.17759717 127.30625509]
[297.78022427 256.58111273],[341.70909401 253.3177827 ],[368.70082372 239.22652522],[394.58560619 228.3116084 ],[415.95871276 219.88966556],[338.21336591 179.32671591],[369.62079044 157.02125721],[397.02125517 160.15565034],[415.96874736 166.90842615],[321.56985996 175.67022904],[334.35727982 135.37271164],[351.67133829 106.69906995],[369.94055525  82.44693362],[304.51912908 179.96472951],[295.913912   139.02653236],[296.83347799 105.55742211],[301.27105015  78.76434007],[292.69702108 193.35484839],[278.5388501  163.01494629],[272.72534713 139.36524352],[269.26802989 118.27735279]
[268.12354707 268.84149038],[316.7078913  262.28787965],[346.77455777 245.39076468],[377.02082705 223.7127506 ],[382.8288136  215.09689589],[324.20454343 176.7322749 ],[360.2155133  160.03554229],[375.81830976 178.76654107],[378.53822702 189.47995466],[299.03234067 171.82968589],[307.76830273 116.09997267],[321.982737    89.00907937],[330.66378153  67.09492451],[278.02730534 176.22280326],[267.75902787 123.88676058],[274.6422595   96.02483513],[283.31883095  73.85899801],[260.05120298 191.62188525],[241.70388662 158.73208248],[235.78141508 151.26020614],[232.09464787 141.21011721]
[240.22115789 276.75797253],[297.69900357 263.40028603],[326.11311785 242.59860988],[351.37030726 224.27251894],[362.72153778 212.73430428],[302.14591202 184.80301462],[335.82836886 176.87836899],[355.7265752  196.89514903],[362.50542469 209.12938198],[275.66691507 181.61227352],[282.28142746 122.91245509],[300.94548196  85.79378416],[312.97158473  61.96738354],[252.45311587 187.56472291],[245.21628965 132.49734658],[258.31267747  93.70922252],[270.6144391  67.6779982],[234.63864166 203.39961052],[223.15071391 165.67645102],[221.40473968 146.95181298],[220.47123946 132.81186333]
[229.34514535 286.93439393],[277.66501921 274.72812208],[310.02121462 250.12482748],[331.69714038 225.78747924],[340.96401482 213.36317   ],[276.22413507 190.23068637],[311.38753299 175.9631327 ],[331.96869607 193.24368848],[341.52359657 206.57262113],[250.75921017 186.01975093],[261.01803073 133.71447127],[282.34333487  95.2010043 ],[299.00382491  65.34996213],[229.61927094 190.8929139 ],[221.75585523 145.84457527],[229.70374565 102.12669114],[237.08255727  69.06869286],[214.5870168  206.38050694],[199.97100508 175.11484804],[193.8618625  149.45731665],[188.17515817 124.93878008]
[203.87438717 295.21139019],[240.92805657 286.10049124],[282.6857257  259.43559637],[300.18721425 232.55888798],[294.61309188 211.10599648],[250.36487962 185.16948244],[282.02343058 171.74546662],[298.25187138 190.09769924],[304.96943101 210.74708705],[223.48345936 177.71978048],[236.83798297 129.35227304],[249.99852931  92.09866531],[263.92925386  60.085507  ],[200.14062897 181.33774845],[194.71620955 143.32874112],[192.51955832 105.72680095],[195.26715566  73.58000271],[179.81804704 198.9603318 ],[165.71764776 173.43374119],[156.97817243 153.64276474],[151.17759305 132.53039048]
[176.67837088 290.55786701],[219.03642045 277.63365752],[253.75961089 255.45847322],[277.87144546 229.52032045],[278.15980604 208.84523858],[220.34760382 195.02848331],[250.44044786 168.75181537],[266.79735542 180.80462895],[275.70928506 197.43025304],[193.70902978 187.01961926],[204.53479384 141.17230324],[217.71856003 103.78281773],[231.35840289  74.61359781],[168.65127847 189.8423148 ],[164.87052363 149.71959384],[169.00732269 114.40279485],[174.69818971  87.97340926],[147.46610286 201.25736284],[134.80627844 170.74065899],[131.90902605 146.44062904],[132.5412386 124.1563874]
[149.68992493 304.3189182 ],[201.40575876 283.03439048],[232.35362404 251.32396447],[252.54033085 224.09688354],[251.70587779 197.86798977],[205.70010141 202.89466355],[233.3378492  173.12687236],[246.27663976 185.48176522],[250.03848066 199.30353322],[177.57041299 198.53810884],[186.74580261 147.67526843],[200.12842548 113.06492038],[211.91020762  83.39686863],[152.55169555 201.65091348],[147.26661455 160.42931716],[154.42867493 129.6646758 ],[161.4954228  100.96979925],[130.04724593 212.28497176],[112.9996378  181.58347532],[106.7534538  161.55564429],[103.0955819 141.3906121]
[132.41780496 308.81298413],[180.67498668 286.00089149],[210.78310233 255.86819176],[228.5053344 224.050066 ],[229.94142176 201.34565741],[181.01078969 210.57486041],[211.66798159 180.47487951],[227.52192738 182.63841082],[236.96029887 187.37201947],[150.56390381 197.18863458],[162.33779039 154.76200509],[176.03184249 114.20040531],[191.88090983  82.25842432],[125.5593552  197.43347063],[115.47969802 162.9311793 ],[118.29063181 122.56260729],[125.76949931  89.13885777],[104.57827891 211.00904167],[ 84.57363113 180.23153421],[ 77.51143558 153.60797859],[ 74.37033055 129.16935052]
