[254.18976659 318.31015989],[288.41137275 311.66634403],[311.25388472 287.14028272],[328.01199899 268.44476252],[345.61948986 254.36805374],[284.48386507 245.92417528],[295.82839089 213.12409155],[303.10940406 192.12138515],[307.69622013 174.14356628],[262.89396296 242.29141814],[264.44291995 205.48586469],[267.36807694 179.96230533],[267.71957721 158.69650916],[241.95457728 245.67057373],[236.7496589 213.3663674],[235.18417017 190.33035477],[232.45121501 170.88920642],[223.97484883 254.65919978],[212.53070691 232.63878747],[206.54240685 217.81178994],[200.48358285 203.44381702]
[145.99797054 319.54549492],[176.39806034 303.61094809],[191.80858262 278.74880164],[202.10589919 259.21792911],[211.53718556 238.41940439],[166.5646539  238.74301472],[163.81656952 204.80217379],[161.92079117 184.10712409],[159.47994795 167.5750794 ],[146.61726817 240.05446654],[143.86246078 203.31356668],[141.9921104  181.64178866],[139.97822231 160.48571764],[128.35848158 245.50329233],[125.31641584 213.39599753],[124.01919311 191.80803646],[123.05812482 172.67365475],[111.67059367 254.75656016],[106.99112024 232.31575675],[105.2639388  215.09614546],[104.33366906 198.05980952]
[139.49614159 313.80237951],[166.37668563 301.27910805],[184.65497486 275.4841802 ],[196.77049297 253.72403446],[209.8104863  235.77312042],[159.11016777 237.36474276],[160.07326565 202.50528477],[160.32919538 182.6087031 ],[159.61907404 166.83554604],[138.38980995 236.83712443],[135.36818299 198.78957592],[134.4641892  176.55097486],[133.06891397 156.67159608],[119.50280416 241.82667641],[113.51442629 208.41186818],[110.89360148 186.48112551],[107.915476  167.5859578],[102.63599388 252.40408673],[ 94.49070666 228.56166097],[ 90.19060737 212.27526087],[ 86.02884717 196.08298352]
[127.44138245 301.96942516],[155.89119504 294.15663764],[175.1084628  270.83870281],[188.65140545 251.85075621],[204.90772462 234.80969615],[151.94066108 230.71423111],[156.75194541 198.19744966],[159.90834221 177.63335011],[161.97829145 161.54835559],[130.40538458 230.05216222],[127.5406138  193.59420477],[127.36699149 170.18712328],[126.86126623 150.57688102],[109.89266312 235.05295085],[103.0651263  204.32865368],[ 97.37878977 182.30159864],[ 92.04901964 164.25450425],[ 93.04114341 244.66692122],[ 81.75520371 223.87302329],[ 73.93748153 211.05704786],[ 66.62803721 199.85092031]
[125.86865325 295.12203918],[154.18581008 286.97749936],[172.6864828  264.93645919],[186.97581658 246.49574718],[206.56842758 231.70563356],[152.27954941 223.19372485],[160.37732618 192.41145651],[164.8050609  172.31775951],[168.59120761 154.45263797],[130.36475313 221.33488111],[128.44271793 185.66357997],[127.653227   163.22662867],[127.12585508 143.54011234],[109.44371158 225.46693574],[103.17401326 196.93111866],[ 96.19793228 175.36271042],[ 89.8544651  157.08091106],[ 91.76538086 234.90975594],[ 78.11963298 218.70021791],[ 69.22252595 208.17117591],[ 60.7967687  197.90812995]
[120.63814334 282.17619907],[150.07010059 274.90284975],[172.10410547 254.07113784],[187.44623579 236.31289854],[204.80186123 223.42711187],[150.64556558 212.6835582 ],[161.56158545 183.34257117],[167.47733692 162.6111367 ],[172.49191025 145.08622586],[128.52822116 209.72552309],[128.66655466 173.31422773],[128.37437994 149.92144945],[129.00898815 130.52532992],[107.26313085 213.34959756],[ 99.63466914 184.57747054],[ 93.23909893 164.42465115],[ 87.68454722 147.53994221],[ 90.01075495 222.40094707],[ 77.02448094 206.82708526],[ 68.81680622 199.60053659],[ 61.12257459 191.22865382]
[125.67066253 271.46309165],[152.11532893 261.80190711],[172.6695     239.18667859],[187.0674378  221.45012468],[201.12862934 204.89940041],[153.52318685 198.99316389],[161.92111616 168.35588218],[166.11543555 148.03905689],[169.87298887 130.77190327],[130.75552436 196.92482232],[128.19963127 161.32441244],[125.90494091 138.653838  ],[125.26922239 117.27873592],[109.89424154 201.10746093],[104.32066889 170.81305423],[ 99.41971412 149.64885802],[ 95.15033502 130.89814179],[ 92.93571287 210.50536513],[ 78.66671267 192.10093923],[ 69.48630142 180.93348838],[ 61.41853063 169.1836762 ]
[128.85466063 254.61904223],[156.99517219 244.35235635],[172.09216512 221.57959376],[182.25906747 204.50997985],[192.6625552  188.33369946],[155.33429869 182.0674043 ],[155.3369209  154.47258383],[155.19562614 135.06743726],[154.52685648 119.55745902],[136.45553765 180.98927282],[134.70180126 148.81397612],[133.23799131 128.0233469 ],[132.39141048 108.25127042],[119.08397382 185.75952339],[116.77834267 156.93289849],[114.5139445  135.47295515],[112.38186351 115.90166301],[103.09963502 194.98986473],[ 97.7026016 174.0163632],[ 95.02142793 158.96452817],[ 92.45272812 143.82057448]
[139.64453024 243.40831067],[166.0642204  231.98157057],[180.21739643 209.24781311],[186.35824494 187.82773838],[194.18304229 169.32535426],[164.20927023 172.83830958],[161.4732331  144.76534025],[158.72251962 125.27203103],[156.5669744  110.32580533],[145.89028703 171.95888385],[142.64456532 140.50312764],[138.93572876 118.99926133],[136.92551949  99.940215  ],[128.67056247 176.70137221],[125.97207567 147.84793577],[123.04503208 127.32261627],[121.64828684 109.70749657],[112.46023645 185.33571132],[107.99708837 163.09126769],[107.42809536 147.62291854],[108.11810913 132.12701484]
[152.06547824 234.94637904],[177.68349152 224.31840248],[190.98745193 202.4781282 ],[196.51797376 183.00901602],[203.98772064 165.62231084],[178.0639356  166.18142882],[175.50620821 139.24313272],[172.2688172  120.54020714],[169.76134427 106.03364563],[159.23668243 164.90783211],[158.41053998 132.79646936],[155.96408466 111.42488548],[154.67562514  92.01128004],[141.42984324 168.97929559],[140.96322271 140.98305463],[139.45917994 119.3970448 ],[138.61386809 100.04267384],[124.07229672 178.2078053 ],[120.13996743 157.83483403],[119.01246317 141.46677821],[118.83716202 125.08423731]
[155.33053247 230.47283469],[182.8075138  219.08095804],[199.67807475 197.34680899],[207.97573035 176.25065715],[218.03447788 158.02708629],[184.26044237 161.31650556],[186.06208535 130.99399674],[186.77481798 112.160683  ],[187.58778716  96.67328074],[164.31554523 157.53653515],[161.55409455 123.09217076],[161.61896913 101.68359379],[162.56386356  82.66981656],[147.55274029 161.41130635],[143.59201325 131.22893802],[143.78962065 109.76815776],[144.57135366  91.11227468],[131.32651315 170.90997403],[123.10284995 149.75711651],[119.70287625 134.3217931 ],[117.07432776 118.58170147]
[169.93020154 228.32514211],[199.00688555 216.92238013],[219.22636672 192.77806315],[230.85475931 172.81233723],[240.61102858 156.89965662],[197.95156619 153.39122907],[203.29273251 122.12204011],[207.66006545 103.90068327],[210.27867459  89.34209709],[175.27125239 148.63443969],[174.2009759  113.10093749],[177.00370309  91.72100034],[177.72077055  74.39272721],[156.32604769 152.03936182],[150.19961169 122.07468989],[148.87044672 100.69495317],[147.5400265   82.78024607],[139.64863857 163.21351842],[126.52445134 144.20196778],[119.88736994 131.30863714],[114.2525926  118.82948745]
[188.19011716 219.67752427],[217.60840891 212.00461871],[236.53104942 187.72033627],[249.00995371 170.48790785],[262.91880861 155.8024509 ],[217.04317891 143.27108675],[222.83483018 113.19596331],[227.75350118  93.89274381],[229.39505583  76.91474087],[194.76548416 139.99346538],[195.15071551 105.912732  ],[198.33881744  84.61196044],[198.06830723  67.08691726],[174.21850548 144.56421558],[168.5889302 114.1013946],[167.35224031  93.19905855],[164.6969781   76.41063351],[156.78496595 156.18878197],[144.02273853 135.78870863],[136.8494782  121.41610958],[129.71366428 107.73690957]
[201.97576369 215.47082721],[232.30636263 204.75757334],[250.30489657 179.93022461],[264.23949172 162.82213973],[280.3077849  147.75981472],[232.00144073 139.54982426],[241.56144384 107.64668936],[247.76936265  87.2175888 ],[251.19891492  70.47326655],[209.45170788 136.28346407],[210.40362656 100.53645394],[213.34943265  77.48968682],[214.83211251  59.83373421],[189.19853906 139.11939558],[182.30154595 107.17883203],[179.21275875  85.16690917],[177.26451966  68.62871007],[172.31023833 148.33871749],[159.34465679 127.6905447 ],[151.46991858 114.10372064],[145.30333374 102.80157092]
[223.67798365 205.89935978],[255.38541828 199.2950025 ],[274.2152482  175.93055976],[289.61224923 158.82138579],[307.65079081 146.70588139],[254.23269588 130.60469864],[264.51277957  99.73961357],[268.54028236  82.60508836],[270.92822036  69.72437478],[233.29217141 127.10027297],[236.15848886  90.97548709],[238.0955488   68.51193315],[239.34730337  50.69547139],[212.50355421 130.21833193],[207.13346219  98.9282701 ],[204.34187011  76.4095365 ],[202.57095665  57.39842953],[194.03407624 139.70288782],[181.94368022 120.47842451],[173.65626111 105.47499735],[167.04931729  90.40735549]
[239.94588683 206.88930448],[270.67106462 199.30411777],[290.80809865 175.0236751 ],[306.91999116 157.35774558],[325.48407806 143.14373726],[270.02162312 130.315664  ],[279.35266061  98.92564067],[283.25280975  81.60223366],[286.12482221  67.75107068],[249.01392589 127.59363228],[251.80941167  90.0883084 ],[252.08940137  67.33791433],[251.87003388  48.1498356 ],[228.6784975  131.26509643],[224.17496555  97.64352773],[220.97165082  75.86287219],[219.06885171  56.76402986],[210.05852958 141.32746687],[198.16533407 120.68628302],[190.44624541 106.12634054],[184.46436449  91.13589723]
[265.94431828 190.30015699],[297.07100053 185.5005262 ],[318.59950988 163.28367945],[336.39684828 146.91628476],[358.18891608 136.64611367],[295.15460867 122.22035973],[306.61272033  91.99169561],[312.33823774  71.77863946],[316.7266309   54.36993742],[273.95098151 118.12898198],[276.40268598  83.27646101],[278.04460265  59.38995206],[280.56089212  42.14959126],[254.87999028 120.06481927],[248.71423937  90.88995632],[245.53758694  67.57279813],[244.01177217  49.54065507],[237.63698691 128.17232176],[224.61288373 107.46727545],[218.06314628  90.83516586],[214.05864562  76.01054096]
[289.19748501 182.31507852],[317.91631735 179.44285244],[340.06274008 160.11266999],[359.85430044 144.55643207],[386.08033792 132.524806  ],[318.67302526 114.04753099],[332.73638812  83.86395968],[338.90565715  62.89139689],[342.2795716   46.17221347],[296.03892697 110.4241383 ],[296.35183316  74.60365337],[293.20367804  52.27523534],[291.29505089  35.38556196],[275.62290578 112.94408935],[266.77867095  85.08899273],[259.69195018  64.05228407],[254.71013898  47.79459407],[257.597132   120.64972788],[243.01363244 100.83611851],[235.84560379  85.27050044],[230.93748113  71.72115729]
[303.55792529 173.59247832],[334.12436871 173.02933173],[361.76042296 156.44883251],[380.1253355 143.352305 ],[400.94635029 135.9462957 ],[335.12694627 105.37169057],[348.49051648  75.85539153],[354.35681501  56.87366443],[356.82620889  42.84984593],[312.08101329 100.21560186],[310.51896027  65.05379572],[307.03111419  41.84481045],[304.27974171  27.13121101],[290.86105222 102.54669051],[279.59592982  76.06257744],[274.02107616  57.63886448],[270.79352568  46.43337839],[272.5817142  111.08394179],[260.06236156  92.4829756 ],[253.88146628  82.69206664],[250.86657075  74.81927666]
[322.28304027 163.97201009],[355.47037489 167.99934371],[384.05661085 152.78353046],[405.61996017 139.62283626],[430.15798749 133.16990355],[357.06149913 103.48201577],[373.31813428  72.44430616],[380.16707252  53.41155652],[384.42587852  40.33477817],[331.64264625  98.32194876],[336.92010735  59.41226309],[336.84959029  35.68527772],[337.90336721  17.86339047],[309.02970043  98.62398654],[303.76482405  72.34238946],[299.33802303  49.33527017],[295.54809014  32.2067767 ],[288.8872314  104.60084694],[275.47260043  86.23606157],[267.92563764  73.60953123],[263.07837498  65.81364959]
[349.49482789 166.5059291 ],[383.18175033 162.25883099],[408.44463659 140.40614014],[428.13664907 121.78868478],[452.07550797 109.26968958],[385.3643251   94.72411867],[400.74553043  65.41123935],[407.38522906  44.88907325],[410.85116629  27.19779909],[362.38884303  88.04626652],[365.64308587  51.76534333],[366.62368456  27.26521256],[366.23105413   7.48386565],[340.41670681  89.21801862],[333.55654403  60.46357497],[327.77508665  37.8192875 ],[323.07848485  18.28354083],[321.33277761  97.67165632],[306.8160363   77.48817894],[298.76380541  64.38685965],[292.37439423  52.45446212]
[371.93155092 162.34121921],[406.65583102 156.9608063 ],[430.17611778 132.97268806],[446.28616157 110.44001235],[462.31439556  93.75307641],[409.47545203  93.32402811],[425.35497635  61.08495115],[432.11587299  40.26364131],[435.83067729  23.5064951 ],[386.25801197  86.41206748],[389.51961508  48.50679328],[392.69869546  23.3279023 ],[394.95645435   5.66852631],[364.10673939  87.20602978],[356.77624027  54.93354739],[353.10042322  30.37948489],[351.67079124  11.58902844],[346.14225735  96.10872506],[331.37861114  73.41503318],[324.61740558  59.24580239],[320.30170797  46.03987701]
[391.10413599 160.27435332],[425.05886288 155.08148221],[449.61855717 130.52795775],[463.35480438 105.83633109],[477.67269076  88.17278552],[431.09826909  89.85173536],[446.4315402   56.39781921],[453.49751144  35.23303883],[457.69919922  18.23848545],[407.91633001  82.64814045],[412.38204516  43.2582478 ],[416.58497787  19.27456357],[420.00525343   2.84080393],[385.40022311  82.88691895],[382.81423806  48.20427016],[383.12485812  25.09808076],[385.12359441   8.83228964],[364.90764712  90.29978379],[357.22042765  64.38438737],[355.81297166  50.10210588],[356.14333748  38.42239327]
[405.31960689 161.34453524],[438.98964257 155.4101823 ],[462.96452098 131.61887919],[473.91107008 105.80349597],[484.95599829  86.68714471],[445.69688406  88.00809883],[458.68172016  55.17795628],[465.92585582  36.28886278],[470.1970677  21.0400586],[423.54387144  81.95844287],[428.98535813  43.68477175],[434.92342335  20.65108623],[440.0827857    4.26159067],[401.73053844  82.94140598],[401.33264531  48.91596658],[403.18962792  25.65876429],[406.38174226   7.76751065],[380.76743247  90.8639437 ],[375.39050534  66.08837733],[374.09711864  50.6044218 ],[374.04988645  37.36962095]
[416.31123536 162.36737484],[448.48332964 156.7790619 ],[474.27106992 131.48974959],[485.18481414 105.78778028],[497.70635968  86.86618131],[457.73275559  87.39898721],[469.21808687  55.05247172],[474.7424635   36.35035197],[477.38077455  19.88426912],[436.46817174  82.1654798 ],[441.90654286  44.76318529],[446.60439876  22.64015846],[450.67586725   4.48411174],[415.0621031   83.65346122],[414.06913227  50.90764129],[416.04558714  28.04014085],[418.91163004   9.63222219],[394.10179475  90.58357831],[388.20383249  66.83278755],[386.80028331  50.75500681],[387.37169299  36.28303558]
[433.45766589 167.63105602],[466.75285531 163.73001411],[491.12665878 135.50610018],[504.10293    109.53531856],[519.72128985  94.30935092],[474.92017961  94.86543662],[488.33324839  59.9465732 ],[494.77176061  39.16961295],[498.0264896   22.58689262],[452.23718752  87.33188285],[457.86462013  45.33737754],[462.11095048  21.8742505 ],[465.76017415   4.91255172],[430.10566607  87.61356619],[429.54237733  51.39039431],[430.01845752  27.20842978],[432.33512673   8.80940197],[408.50023544  94.12288676],[401.84590386  66.07545126],[401.11698716  49.90694291],[403.53200688  35.85803955]
[459.00921263 175.68064787],[492.53628474 172.55433807],[518.75209458 147.41089814],[539.57822248 125.87974312],[561.7390584  113.67122301],[496.53855955 104.00302902],[512.76165674  69.5866031 ],[521.98840986  47.9492935 ],[527.24403915  28.93177075],[474.16702904  96.15502269],[482.09774723  56.67729454],[488.6166393   32.21677481],[492.38688419  11.43757064],[453.14602972  96.79607652],[448.96532728  62.20931412],[447.36735141  36.99921356],[446.84493957  15.23149559],[435.26776905 105.92038586],[424.0622532  80.6526323],[419.86362513  64.29417401],[416.74678786  48.49839048]
[484.14631145 180.98903946],[517.49356915 180.01154152],[543.16650781 156.52925134],[563.54322746 137.87745146],[583.54898724 128.77935041],[520.10293579 110.67252265],[537.62612621  78.46031622],[546.05717072  57.10406156],[551.31469852  38.3106975 ],[496.45193076 102.25634162],[502.26350324  64.02515924],[507.72776226  38.42494146],[510.42043403  18.86058559],[474.5453014  102.43748415],[466.51485412  69.09918843],[464.4244931   44.78670407],[463.56510211  25.14641987],[456.92564542 112.38091735],[442.80272554  89.73973453],[436.60927642  75.37154821],[432.15375679  61.82245485]
[505.32484838 191.2195195 ],[541.72827694 190.72233797],[570.24765128 166.57706101],[593.32215778 149.25519942],[618.85549848 142.66091151],[544.40907998 120.62543807],[560.68465408  87.28111469],[569.63018698  67.6040934 ],[575.5979837   51.54132137],[521.36495628 111.37604447],[531.06817694  72.5175901 ],[537.48366587  45.79870551],[541.68233817  25.162552  ],[499.24032508 111.18944518],[495.61483804  77.34913504],[494.51159179  50.33580414],[493.51253969  27.43906855],[479.52990767 121.18921198],[465.69862716  97.19629702],[458.82831669  81.46929769],[453.27160644  65.48651636]
[518.36870115 197.91133682],[554.93294001 199.30897994],[584.20959327 173.21831569],[607.08312843 155.66064779],[628.56595248 145.75453327],[561.84887289 125.73207312],[577.61588118  92.99835772],[586.84065657  73.00351109],[592.41989737  56.50165829],[538.48316644 116.4094887 ],[545.27497548  77.91740064],[550.21986055  52.1704154 ],[552.65505114  31.60495388],[515.82798681 116.55654008],[511.33600971  82.23790644],[511.38279612  56.83118842],[510.94063886  35.93458992],[495.06868745 126.41488149],[482.07430959 102.22011039],[476.3052614   85.47320222],[472.20889146  70.26992767]
[532.13913906 202.10641423],[564.79408482 202.93268971],[593.8402562  184.29102436],[616.50798964 170.10756765],[634.62543203 163.50338196],[573.0864051  134.58003088],[587.71308042 103.67767425],[596.34434291  84.57468446],[601.50181364  69.68691408],[551.9344252 126.1945207],[557.51005294  88.67191604],[561.94745884  63.8562418 ],[564.30901787  46.00186481],[529.97246488 126.67857703],[522.51508434  91.81645434],[521.45501573  67.62733244],[521.21129654  48.7606814 ],[509.4375003  135.72282092],[497.52422408 111.08836121],[491.55552755  95.11960757],[487.62012353  79.60669565]
[538.92929441 201.9084157 ],[569.16131833 203.92241026],[595.92245508 186.94165485],[618.76947948 174.5704924 ],[636.44909382 170.19009396],[578.06692092 138.37497957],[593.94331148 109.26259286],[601.53124157  90.57094717],[605.94253847  76.13955081],[557.12418687 130.3380563 ],[561.47207687  93.94038019],[564.12804232  69.21858841],[565.88040788  50.31280589],[536.4996955  131.07921456],[528.27739841  98.77224486],[525.01242949  73.99160072],[523.15524715  54.2108139 ],[517.0277734  140.93991746],[502.83635863 117.04151652],[495.49737173 101.52044321],[490.96435931  86.64339896]
[545.67612869 206.84381172],[578.54985556 209.40943937],[605.40336255 194.35710632],[624.06912671 181.63255594],[635.51242909 175.36608505],[583.91775449 143.46847824],[600.30873677 114.41704495],[607.74758079  95.85504684],[613.462744    81.37316528],[562.45514103 135.47675598],[569.91477672  99.52889084],[573.92353206  76.03371116],[577.39554517  58.73885523],[541.55729289 137.25068643],[536.6666539  104.18526383],[534.67044074  80.09726899],[535.64121695  62.54717263],[522.45965351 147.73251636],[510.78609051 124.11552304],[503.77951919 107.38938987],[500.04868039  92.39974696]
[552.8773246  223.40000065],[582.34698187 222.96414692],[609.10096504 203.19984939],[625.2365715 184.1433432],[635.43975334 177.32412093],[590.9792806  154.39534762],[608.96707656 122.59183882],[617.5005773  104.37028263],[623.32126534  89.77816615],[570.4689524  146.21224543],[580.23213541 108.65573628],[585.75189819  84.50303689],[589.83835081  68.67641904],[550.06957914 147.57456424],[547.10101493 112.85968724],[546.07333246  87.4589681 ],[547.78492676  69.1941888 ],[530.98817253 158.77437163],[519.09373462 133.39549497],[512.13672307 116.61964879],[508.26934488 101.40076978]
[545.40447092 233.89511121],[577.40454549 235.28005752],[601.07252154 216.15090037],[618.54775565 196.84818314],[634.29285361 183.7110659 ],[587.35411372 174.01683721],[603.29133697 142.29014323],[613.01084834 124.91138606],[621.13114728 109.76968525],[565.72194197 165.18920971],[578.145746  131.1641749],[584.39810922 109.38843995],[588.64133066  91.6198949 ],[544.21074934 164.80539709],[548.11909382 133.13025586],[550.36125545 111.1885993 ],[553.80090588  92.92246652],[524.44618434 171.73081397],[520.24447754 147.02092743],[516.37123822 130.8469399 ],[514.24963222 114.65685227]
[532.97172209 243.9444094 ],[559.43225878 244.92375134],[582.14781021 224.46854317],[597.02604262 202.39702665],[612.1021388  185.98654937],[572.70266327 192.46538034],[590.74641377 161.03365591],[600.11463139 142.46314744],[606.3712386  125.75437069],[553.7999575  183.10678148],[566.66127824 148.39664176],[573.9800138  126.11840885],[578.97424003 107.51633674],[534.33741315 181.50318409],[540.00586341 150.41177486],[543.67151822 128.25534206],[547.48006191 110.97401425],[515.75856345 186.6363429 ],[513.97636678 162.85294435],[513.33679124 148.17340416],[514.87237849 135.36808326]
[515.4950296  260.98541783],[541.69273455 260.24686423],[561.1128405  243.26818234],[571.88373295 221.06907908],[579.40465364 205.03676203],[555.43808287 217.39512245],[571.83886811 181.89442934],[579.2182305  163.47078317],[583.62664264 149.01752677],[536.87940565 207.70244428],[549.737421   171.27169177],[557.24463352 149.41020169],[562.75250083 132.73148761],[518.49335782 205.94253433],[524.28961208 173.7200002 ],[529.74068408 150.55399562],[534.44428509 134.60493115],[500.36296586 211.65780148],[501.90974221 186.54649905],[503.81913775 171.30494588],[506.48741122 159.84367477]
[508.22250998 286.16953816],[533.5355828  285.95468881],[555.15136634 264.92170043],[564.48624852 240.95119546],[573.73964047 223.00269367],[544.49840228 230.91600526],[560.51282196 199.49219232],[568.31461553 183.7846157 ],[572.67220537 171.05803005],[524.89774927 222.75880456],[535.32396784 188.62439008],[541.39720084 169.68830579],[544.84292603 153.42483939],[506.31455875 222.33942346],[509.71097188 193.13516245],[512.34714233 172.50608045],[514.7072751  157.09187206],[488.22009562 228.20024802],[487.18649172 206.92347383],[488.43215126 194.78766918],[490.26606892 184.79860563]
