[257.50275972 381.12071998],[292.46227235 376.13647893],[300.76675849 359.56449712],[279.26364208 344.91790678],[248.57660938 333.19427639],[307.08284393 309.59282475],[322.87650181 280.63404542],[337.39724156 259.03974494],[349.17088355 235.75951303],[279.65423911 305.29901961],[284.06288971 265.57895797],[286.15760819 236.27693526],[287.63316843 213.11030198],[250.70201127 308.02095482],[251.9280741 282.4235745],[251.20242974 265.27118101],[251.62787207 248.09900361],[227.1386472  324.09821753],[234.26507411 307.24176891],[240.17485556 319.16114402],[240.95709557 331.66704619]
[252.23999483 365.28249106],[289.85349973 361.35301678],[302.81726728 344.06548744],[278.54418944 328.30698477],[245.65572659 317.72976486],[307.44904494 290.85805501],[328.24996992 262.19733314],[345.21752971 237.9564922 ],[360.01417946 213.88526197],[281.61305094 284.9997431 ],[290.04266031 242.74204978],[293.44944125 212.84526143],[296.79225339 186.62057444],[252.23205481 286.8806806 ],[255.28204221 258.2244052 ],[258.23557306 243.22762642],[262.14830517 226.86800525],[226.69469329 300.66506606],[238.17138858 286.18038626],[247.4269799  303.35401525],[251.71977764 319.61674675]
[255.28615715 365.01555557],[291.79484357 360.67572367],[303.14480094 339.40671872],[280.48956024 317.68629691],[249.90303492 300.9122587 ],[308.60256991 286.95413826],[328.04028049 256.24690298],[341.81054198 231.55515242],[353.8414051 205.4498544],[283.34024081 279.46897275],[291.88623797 236.98394121],[294.95966541 207.96836338],[297.44607824 182.28765312],[254.58528462 280.81573035],[257.24496003 250.87501449],[258.96194149 232.24241922],[259.99939384 211.47075046],[230.39890065 293.42841551],[243.75409962 277.24292993],[250.72914965 295.49351528],[252.01169367 312.50172402]
[252.22644986 358.92553455],[291.19660294 357.113163  ],[304.19014674 338.49942237],[284.67100825 316.93159753],[256.46257798 298.09314375],[310.6766006  287.67994813],[333.42086147 259.00480696],[349.5188027  235.34483053],[363.61450425 212.10006351],[284.91295358 280.67770616],[296.30188383 237.61611238],[301.21753995 206.72947907],[305.2452699  183.77863969],[256.37419314 280.9759558 ],[261.15163289 254.19371409],[264.23325585 238.80929213],[267.0092457  224.69762435],[232.33433194 291.62791476],[244.66139419 275.73739466],[250.95310783 290.44153573],[252.57247656 306.7584289 ]
[247.42902513 360.27619412],[287.49727555 359.0176845 ],[301.42739075 342.33031014],[280.80628512 319.4252578 ],[247.62106757 298.45889051],[312.16846346 289.26805939],[335.75345565 260.82546287],[352.64409278 235.4193703 ],[368.01655629 208.49426736],[285.00103265 278.16707073],[296.37879187 234.14234126],[300.53613623 200.82450621],[304.00499981 176.46068581],[253.94363275 276.85107358],[261.27724712 245.51210197],[265.83666499 222.08934972],[269.65332331 201.67225636],[226.77518105 288.5706808 ],[245.4964622  271.27665783],[252.34627545 288.99582788],[252.08807504 307.12714526]
[241.78326384 365.387602  ],[289.76478957 361.68665869],[301.46653757 343.08169607],[278.78710151 319.75924986],[252.27888437 297.6778354 ],[310.22869085 285.92782343],[334.96721623 255.7463259 ],[353.68526577 229.21635444],[369.02918123 203.40148923],[282.0750876  276.55879914],[291.21683932 230.04045807],[295.65956253 194.91590405],[298.82023957 165.54784845],[249.78889366 276.85381603],[256.58732303 245.47761444],[261.427948   230.06673363],[262.86778735 213.70631526],[221.90196369 289.28309157],[240.93088768 276.25510979],[249.98454633 295.94309774],[251.00925182 313.16225857]
[231.97462601 380.55516137],[278.33306244 379.58683493],[295.12554064 354.50325164],[272.43454302 327.84133254],[248.0036573  303.52293426],[310.27084447 291.50431542],[339.909847   259.25194412],[364.90263062 232.3643054 ],[391.25450662 208.86860466],[281.59101314 275.59669479],[292.94824469 222.56350759],[297.48094844 179.41632427],[304.52092362 150.82014829],[245.91186624 272.31959021],[249.87051241 226.2706589 ],[248.17444356 187.85114915],[251.56650149 161.68269878],[213.81940917 281.4473489 ],[225.32430823 254.27608778],[224.9002386  265.25445525],[220.6244676  281.78541979]
[233.1098871  381.04696924],[278.83275275 376.43920839],[293.76287463 356.31178169],[270.9432551  331.98608206],[245.09997124 309.10317543],[311.38010351 289.9767279 ],[339.95708205 261.19976506],[365.84907018 232.6424748 ],[391.32817106 205.33761699],[283.24123133 275.27292508],[293.23717935 220.43495312],[298.37547852 177.62283996],[305.68748641 147.19469479],[246.17533775 273.97448525],[245.99393411 229.77722675],[247.57907251 196.95228119],[254.28944535 172.75082119],[211.94824587 285.63264395],[221.53968162 264.56722406],[224.22584187 282.98162935],[221.81532752 304.71179121]
[223.511734   384.56315565],[273.11415179 380.66840954],[291.76916763 354.27489877],[276.07444502 320.04052491],[255.75024155 287.71469432],[308.65449057 289.76938514],[337.8557935  257.25393477],[361.84656722 228.41352639],[385.21954262 203.00139835],[280.48188654 275.83432072],[288.1901696  226.77290012],[289.79816187 185.85269494],[295.49663408 156.75834032],[243.9504193  274.15311214],[250.0235082  232.86455516],[253.56551109 200.26978328],[260.51265002 177.3479287 ],[210.85553393 286.53128584],[222.50332505 264.07586161],[224.68741551 279.54321614],[221.77117369 298.78533335]
[223.68527113 389.69584219],[272.12833025 379.99058357],[290.65294136 352.34498567],[275.06380027 317.51022655],[248.05951393 289.44776395],[305.90992661 287.37851566],[329.92692717 255.66260528],[348.39664215 225.79781639],[368.3400221 194.0599213],[278.20414072 275.71573497],[282.50900944 233.29721095],[285.64024656 195.92568447],[290.17043668 160.30231991],[241.05772287 275.06425012],[241.7660646  237.41561485],[246.59894369 200.4022489 ],[254.40106398 168.41027257],[208.70834677 293.24946696],[222.99942412 274.89419454],[228.76748826 292.77293134],[228.87742407 311.22876483]
[223.68837782 394.14403724],[264.71149496 388.50493645],[280.59477465 365.58310231],[254.17342337 337.98918152],[217.28724437 316.83226678],[301.85961433 293.80592852],[322.70036793 257.77265692],[344.14805236 223.77945457],[364.70474982 187.64104614],[271.07678483 280.30872306],[272.26893258 228.79419484],[274.11388612 189.81976879],[276.27341101 155.31750766],[234.08301885 278.68431767],[230.91337815 234.52116143],[233.4641694  199.52388699],[237.88881031 169.49585907],[200.85789225 298.21367437],[206.66147201 276.51523694],[211.32899672 296.93345968],[212.1474542  319.05244247]
[224.47798136 408.96397522],[269.39365703 399.4929021 ],[280.67878235 375.12783645],[253.79223479 352.23404837],[221.43045794 335.71211676],[300.37646956 296.98606151],[323.79567201 254.25576476],[344.1034449  215.43031126],[361.72702747 182.65596184],[267.83980203 284.54071613],[270.25679316 221.0120615 ],[273.98919317 176.28891413],[278.83038011 144.44231601],[231.57972803 285.00349316],[227.45354734 227.0309485 ],[224.65994732 185.35405248],[224.41158567 156.90092417],[202.07708566 298.85323154],[206.98720886 266.5243593 ],[211.04581    288.05947736],[212.06803381 317.62519636]
[223.03398768 405.15719984],[272.42414659 395.6477404 ],[290.37757277 372.98880913],[262.45253745 353.2507838 ],[230.33777817 341.39814066],[302.81856034 290.29111957],[320.99871521 247.82384002],[337.20181909 208.36678742],[353.0312982  172.65651597],[265.84407324 282.05233818],[266.0555418  222.50493115],[266.50395071 181.1332972 ],[264.81060847 147.72805672],[225.88801153 285.58727523],[220.44500811 237.13805835],[224.00345686 206.112368  ],[226.48886055 181.19115295],[192.25649472 307.46548147],[196.63140352 281.20148829],[207.2282864  299.06357875],[212.66651691 320.74082012]
[237.98671016 394.6745496 ],[278.08724797 390.05733429],[286.99373232 364.58886456],[257.56932136 349.37821254],[221.34464297 337.27727009],[295.93136747 289.39534986],[318.94793873 245.68612077],[339.29592677 207.83265699],[351.37942875 174.4978157 ],[258.45140992 286.97271591],[251.70174219 222.41650055],[247.35430009 181.10111017],[238.60263622 151.41925927],[220.08449071 294.08723581],[205.35267328 249.64144829],[205.28603677 227.94144784],[203.76105759 207.24213391],[188.04778428 314.8798785 ],[185.07220179 295.60387082],[199.33923744 320.2859655 ],[209.63252164 344.79196012]
[239.61139151 429.04899333],[290.95492471 411.27345101],[304.55271892 378.25138953],[259.95896492 351.7169098 ],[207.66613689 336.05876642],[296.97160065 300.23519955],[317.82048279 255.31329515],[337.85739491 217.46521033],[357.36983263 187.63658783],[258.11554367 293.10082478],[258.02875135 231.83115295],[259.66800628 182.7202369 ],[257.2006544  148.29766374],[218.53758326 301.33498521],[203.28333007 247.13889938],[194.74288896 205.58236552],[187.11167785 173.28257263],[184.40130962 324.84572084],[188.17410044 297.11637766],[202.5636215  325.80835401],[209.50871392 362.09462715]
[242.35283722 415.77013127],[291.37432128 395.27376239],[297.33704128 364.49191575],[256.39681048 341.16035975],[210.01869778 326.46732805],[296.40646527 286.59994159],[320.97707251 242.21659329],[341.80199276 201.64169738],[355.0538175  166.71875262],[257.99358802 280.07215741],[253.39990564 215.50270075],[252.20769671 168.56379927],[245.44791121 135.85549407],[217.22411675 289.17028063],[198.06772034 237.59548997],[191.60492503 202.75773193],[184.07328281 174.99067013],[185.70265927 314.34484237],[189.00322111 292.59398063],[205.99520666 319.7675162 ],[215.27212475 351.37560999]
[244.39008742 413.45020524],[291.10577546 399.56353846],[298.63430319 367.59699653],[255.4246524  343.49886724],[206.04995932 325.6428627 ],[302.66631887 286.70448001],[325.23240637 239.30392735],[345.71766744 198.58145115],[361.99102788 162.19182454],[261.78847652 276.72763223],[256.20620378 211.95515803],[254.52763256 163.35041809],[249.54883314 127.66653964],[220.46367225 283.22232223],[199.94972077 231.22732958],[188.7478808  192.33897897],[179.56396253 158.91188721],[187.79716707 308.34079203],[188.84997449 285.99228502],[201.49762809 318.01967299],[208.95698216 353.40835323]
[241.02453406 411.4503107 ],[290.44329387 389.85074751],[293.60583871 350.37415662],[247.00003592 322.21904236],[199.14792022 304.59010004],[302.24064355 273.84006458],[324.17899015 218.81828114],[344.33968572 176.17995463],[358.08237501 140.78685319],[261.0250503  266.98971411],[253.7464518  199.54196591],[247.75401576 150.58737862],[235.16315499 118.19498036],[217.83850779 276.02924999],[198.40536762 220.96010316],[189.21142826 185.88895334],[178.06912982 159.19589763],[185.41462529 300.00889059],[186.38778404 274.39228152],[201.95857351 302.26078526],[209.88975325 335.72877083]
[304.75051132 235.14188118],[314.38861849 262.79777246],[309.27379862 281.89144299],[297.30412519 298.88132154],[292.59064391 312.10337593],[312.28840321 290.91830827],[303.99767912 321.24384624],[297.70388694 336.67876901],[295.66134871 343.95598492],[306.07201955 287.13595318],[282.64841309 314.07881192],[275.33572998 310.65437497],[277.81090276 302.5679009 ],[294.68383711 277.23365936],[272.4909924  299.55591538],[267.41505456 291.08534366],[270.35392882 281.1577619 ],[281.11712758 266.56759991],[263.28525324 283.0385714 ],[257.80815585 275.55695449],[259.32588502 267.52223761]
[236.55133027 390.65604035],[277.51740496 379.71619729],[280.0579888  342.89075287],[235.27387467 315.7621587 ],[187.96704599 292.79437679],[294.86589292 258.08562628],[321.29163459 199.4119196 ],[340.6039018  157.03303432],[355.39830283 115.5933777 ],[249.40577554 247.61366636],[248.51552837 178.98749709],[242.21706795 129.32929996],[233.90078686  90.71822769],[207.7694016  254.48535372],[187.23365043 199.14992718],[170.43840747 156.20081346],[159.70104425 120.75303222],[176.61662193 277.64858076],[167.94765331 246.7599245 ],[178.35589642 278.36111564],[188.86306258 312.36534505]
[225.94813276 378.40496407],[268.20443314 374.67506535],[269.96898982 339.46797717],[228.45486475 315.58800745],[181.34023653 293.50548141],[287.89367363 251.00594276],[318.52959535 195.83344885],[338.78909558 152.89767431],[352.45888486 113.93756814],[242.60671293 241.63583377],[235.75057219 173.47777008],[224.40089569 126.92785449],[213.9062702   94.32689631],[199.44644535 247.24486398],[180.09906407 193.59562303],[169.11830844 156.41926296],[162.44484921 126.89120662],[165.65731067 265.85660898],[158.16311164 240.46452084],[173.72404354 273.80405284],[188.34279103 311.20326684]
[229.61368537 376.43184069],[266.67319966 375.35133926],[266.78280803 341.59961965],[228.11394834 315.50388616],[184.78782322 287.05679821],[286.68445133 255.56235052],[315.15295127 196.51880333],[338.80225804 153.68571932],[355.86837773 114.16201341],[243.37992417 246.3410767 ],[235.08853183 176.25826404],[223.21008261 128.79127097],[212.37387834  93.23663553],[202.57203058 250.89458411],[182.58745001 195.90063705],[169.35193083 156.96688135],[159.3884401  124.17853353],[171.04572863 268.0355019 ],[164.48144822 241.99273994],[177.87461025 273.52534513],[190.20615994 309.46434968]
[227.10413771 380.39499861],[269.91058217 372.29247637],[273.01734464 335.76691821],[227.82527249 307.45648367],[177.00046348 283.75897008],[291.60578437 251.03837551],[318.59365173 193.8615284 ],[339.34023074 151.5334285 ],[353.60534174 112.12471131],[245.57928062 240.86916068],[242.35369746 173.93794032],[231.92337704 127.6497273 ],[219.57168064  91.36386091],[201.46004369 245.88914552],[180.22109556 194.18058257],[164.71925627 157.61874118],[153.19765261 125.72304284],[168.69391471 265.43513243],[160.47292445 239.89578475],[171.2386966  271.69845751],[180.91590779 305.19537897]
[216.99000713 356.53371793],[264.27806806 352.82242397],[270.03478686 329.23437516],[238.16913156 308.35415166],[204.60319509 281.90498209],[273.34246516 246.53028123],[299.48712593 185.2385814 ],[314.65140433 150.788851  ],[322.00050988 126.42894169],[233.6578975 242.1731202],[216.6034186 179.3164992],[193.77973471 135.50318236],[169.21273384 103.09782368],[193.30744754 251.75937562],[179.96874641 243.87878439],[199.1165227  286.40466836],[212.87918722 306.54990129],[161.40168588 264.26869898],[152.41810149 270.72975062],[168.29191073 296.93516726],[183.86404975 315.78310721]
[222.71610544 383.30299759],[266.54880799 369.1965646 ],[275.08966424 329.69863399],[229.0265963  301.51436384],[175.89283074 281.21653434],[282.54111606 248.23974088],[308.25879153 196.56046781],[327.98408033 155.13805385],[342.9521971  111.30790584],[238.38129413 239.23363445],[237.50640684 174.23237926],[232.88077937 128.69534698],[224.80359673  90.96760765],[195.50136394 245.68529628],[176.72113895 195.43429417],[164.63424148 158.71383327],[155.3141969  125.85709992],[164.36517944 269.34037832],[161.47184923 243.36608797],[174.65291338 276.83818535],[184.2519753 310.8377879]
[223.21897832 378.87045969],[268.28590861 365.20111626],[275.87565113 326.01631759],[231.40136403 297.53874865],[185.3968944  275.75611632],[282.81103625 246.94932008],[308.9599608  193.41679591],[330.85922531 152.84981823],[347.57309401 114.42992063],[240.02740747 240.42713414],[239.51641089 171.1085647 ],[235.01064797 125.48711631],[226.61078063  89.55181718],[199.0625167  249.37089944],[183.90744553 196.49276041],[174.90237662 162.84577371],[166.4179918 132.3702165],[168.41614108 271.81663699],[167.8922316  246.32767496],[179.12914733 279.73595554],[186.56895234 315.70812306]
[225.14032562 383.28654657],[268.48655164 368.75807372],[272.40878979 329.93877826],[228.01834257 301.97400378],[181.66092802 275.64851577],[287.83483274 249.47832487],[311.28568321 196.18836863],[331.46068751 156.33170311],[346.34651678 119.87273914],[242.62001263 242.03603762],[237.83423647 174.67983236],[230.72857114 129.41469998],[220.45644633  95.21567576],[200.09580969 250.56524335],[184.28746878 198.93444896],[176.283979   163.35490662],[169.05509423 131.19604189],[167.92332373 272.9565304 ],[166.09110998 245.48307698],[179.01849104 276.83779354],[187.77691105 310.81743443]
[231.03851862 388.42239136],[269.58065625 373.37693813],[278.73373108 338.5881046 ],[237.81414104 313.29216953],[192.316607   292.23347121],[287.17385448 253.31537855],[313.47809521 196.73769534],[333.47392228 156.76512371],[349.61305794 121.04267012],[245.18414532 243.86452201],[244.8329132  177.00673502],[240.79823778 127.51286426],[235.5200415  91.5625653],[205.7988643  252.51377733],[188.88623695 197.27527719],[172.88870732 153.27263358],[163.21961208 117.92822722],[174.60097958 277.5485987 ],[169.69141816 243.94869793],[181.61399242 272.33428977],[194.01419753 307.90908549]
[224.87430699 391.80254005],[272.79273674 377.1850357 ],[280.40372549 343.98023746],[239.3503138  315.56751396],[183.64546609 297.07547776],[295.10270101 265.9893332 ],[310.07752668 214.26787856],[328.30855689 169.95959503],[344.1250781  127.23179389],[254.06417133 258.96009067],[251.32417748 196.63082029],[246.74406755 150.22186204],[238.04674316 116.79490538],[212.15163264 261.2756675 ],[198.59028769 211.16042777],[195.40705392 178.2860385 ],[192.84899286 153.3392867 ],[179.80086402 284.22673208],[180.84138936 263.4942909 ],[193.43550963 292.30830606],[201.73912643 325.9459509 ]
[233.01740852 405.84350832],[273.98243678 393.31488762],[289.19828322 353.44936439],[251.93305322 319.48620874],[203.51478355 295.81969187],[301.18416947 270.87792516],[319.18364344 229.20711389],[336.71841686 188.95317092],[354.78712363 148.64287392],[262.61940668 257.64522414],[261.72098889 198.74439368],[261.3198712 152.736219 ],[256.25126032 114.97846501],[224.28907058 261.48943001],[209.92675695 209.09562936],[202.31619067 171.93005769],[196.91398375 140.20304215],[193.15083208 284.85318593],[194.12265512 257.53280566],[203.69339136 290.11222557],[210.48569649 326.72184231]
[215.3644838  404.32246047],[268.45899445 397.00406586],[286.42523666 364.8736081 ],[255.3093443  336.68484937],[211.31062594 318.66023248],[298.38472676 277.80323642],[317.95176447 228.78122017],[334.94119154 189.75111206],[352.84438947 147.36780762],[260.93951486 270.75238158],[252.8039004  204.45671221],[245.52613462 155.91880794],[238.21386248 113.80369363],[220.6356139  274.61893617],[205.87167286 223.13153878],[207.67680745 195.28890143],[209.80769299 171.31718653],[183.21990843 299.24732985],[182.76573824 269.32817555],[191.04191822 285.97013787],[193.39956764 308.04288659]
[220.12707746 408.32650524],[258.21075151 405.18441021],[268.69240844 378.35144421],[237.53663686 354.1335508 ],[196.58026652 329.29965414],[296.7160109  293.73772211],[314.69407835 243.11022934],[334.15611212 206.55401731],[355.08079779 168.84105944],[265.93691322 282.68191846],[261.75340696 211.29739917],[256.94628192 163.9491164 ],[258.16473884 126.72194458],[228.71645497 285.3677257 ],[218.01229177 231.41186821],[215.1303392  197.69594145],[220.44006256 169.33334642],[194.64625305 306.31915439],[194.18668011 280.1176317 ],[199.46483088 304.98739585],[202.76839793 335.62854164]
[218.79878447 421.68177884],[261.73566793 421.01902755],[283.09936671 396.78918083],[253.56748378 375.16498357],[209.3290644  357.47702685],[297.52567585 304.15156445],[316.18537755 254.29624785],[335.45718961 209.87967679],[355.4383656  163.31304865],[263.48208384 292.33934172],[259.23320028 225.6485926 ],[255.5532734  175.89856037],[255.66219499 134.03490896],[225.04686474 290.77087005],[210.38498921 234.67139922],[205.76606142 194.33224839],[206.1797699  160.31136981],[189.92887668 310.90832568],[186.53514236 282.87679878],[193.09639438 302.16017553],[193.45349614 326.11105633]
[224.64381116 422.16445607],[268.09345087 423.22919539],[280.83259195 396.13783952],[245.23344726 372.24275323],[198.35754812 351.55976494],[293.7545279  301.09842148],[312.76022968 251.82417603],[333.1842095  207.67481725],[352.81404836 171.49821504],[256.67134569 288.41541027],[258.42257303 219.14548999],[257.50291201 171.3462322 ],[256.8371867 137.9588651],[217.76810799 288.99706068],[205.30086025 225.05781847],[198.5931345  181.29568447],[195.44323101 150.62709697],[184.29712973 305.29712704],[181.23270844 264.65359435],[187.61868111 280.21554052],[191.05934286 305.76686734]
[220.59076222 420.38143308],[260.438398   422.86772277],[275.64659579 393.20840082],[244.13461869 366.25320662],[200.07368699 341.20424095],[292.01004478 299.38024953],[311.09454574 250.83986004],[330.60309971 207.11090138],[348.8988977  167.07231287],[257.068489   286.42047436],[257.29544819 224.25119759],[255.96687025 177.73748676],[253.94054013 140.43883469],[218.11256864 285.25295895],[206.25814074 225.24553211],[201.50456899 181.36528533],[198.47783025 149.43965602],[185.81756104 300.09711247],[182.60338308 265.51433953],[186.90123271 283.39375263],[188.23363802 308.75515903]
[225.56255529 423.90915184],[268.49311703 416.58576281],[283.65742666 389.24592591],[251.84602053 363.44819417],[206.27557634 347.93861746],[293.08007505 299.65268104],[308.75388442 252.95510721],[328.76762107 210.8745618 ],[347.99651675 175.30657812],[255.26753841 289.74319707],[257.28910731 224.65224457],[256.91641652 179.79213419],[256.20057064 145.78254452],[215.17329295 292.3674572 ],[207.16395515 232.42808622],[204.07005097 194.89206958],[203.74016297 167.05152825],[182.45478413 310.63505287],[186.69483613 277.22469858],[197.71334526 296.76505185],[204.06050485 322.6488666 ]
[220.85610668 422.71211721],[258.14076047 421.23351553],[271.34601185 394.93050385],[239.22105125 363.96444947],[194.79781129 337.22048644],[297.40606909 313.45236281],[313.78914686 267.13098615],[330.23994154 227.76940509],[347.90488932 188.78939122],[259.92360055 298.07528929],[261.67610964 233.58787688],[259.95478045 187.19900433],[259.98232235 150.43359135],[219.13130389 296.48959994],[210.11609784 241.56037233],[208.48676232 208.43098747],[211.07517814 181.43910049],[184.60720849 312.04280052],[186.68385648 283.75759756],[196.04340803 308.63090642],[201.95242676 340.51054259]
[228.24198622 424.30655522],[268.56893179 426.99423427],[282.62792142 398.68444235],[248.00025845 367.91505951],[199.95659191 345.33166296],[301.2577151  312.81394921],[314.68353494 268.85257677],[329.8569855  228.96568092],[345.7739347  192.68534807],[263.84343214 299.62644184],[266.36785833 234.11837387],[267.21354378 189.11570964],[269.65343324 153.3472866 ],[224.36637781 299.94645018],[216.4373291  241.30159505],[215.20349401 205.21063597],[217.91744821 176.5927989 ],[189.77515886 313.83012137],[194.35900198 277.3243604 ],[205.12173752 294.75332461],[212.48302036 319.45920456]
[212.37234662 425.32136855],[253.42305727 427.09500406],[271.98290039 400.78251842],[247.36128748 375.57210881],[211.65928638 347.60702545],[294.10773359 314.74029312],[311.95937614 267.96583572],[323.00442427 227.13108325],[333.59561542 188.4466114 ],[260.18708637 302.15698202],[261.92660418 240.17699279],[260.96395416 197.88148971],[262.59594319 163.03186894],[222.75010527 302.37191236],[221.75756482 255.45668067],[220.16057599 225.90730343],[222.46026387 199.40008453],[189.40038341 320.60349273],[199.35279544 301.59794998],[205.2339921  322.89918232],[204.772029   344.42674918]
