[271.47813946 365.71398752],[308.88148984 348.61427143],[312.80307777 325.39998193],[304.46010668 305.18657914],[291.10669805 283.56650023],[326.1189805  293.60286246],[348.75213198 254.91769903],[364.99189828 231.46462072],[377.71386174 218.62595253],[300.4104968  288.95345262],[305.80770097 258.15655918],[302.81545161 269.42413797],[300.31648471 286.88188923],[273.06157017 289.0714625 ],[277.73984271 259.34619726],[278.14008021 272.21249222],[279.76947614 290.10276349],[249.7979893 291.1428502],[241.86501907 261.20176497],[233.91238987 241.827192  ],[227.7855201  226.94884222]
[207.1169454  350.00570019],[241.27473586 342.14787921],[251.97807567 319.66834443],[251.01301138 292.12753317],[242.9006566  262.45252387],[273.10440638 278.50467723],[297.61609291 239.23082889],[313.83799115 210.69659236],[322.58022191 189.17922767],[247.2048165  271.01123156],[247.42631675 242.90936945],[242.17388969 264.59936505],[236.00957138 285.85524548],[220.7168651  266.37061268],[226.65525143 236.78370683],[224.72264915 252.5270188 ],[221.38808252 268.33687157],[196.98555365 263.23666765],[202.68312839 222.23233908],[204.43776598 196.11220327],[204.12704102 171.27399413]
[208.87764712 343.57380202],[244.74716279 338.95588044],[254.472254   317.08179386],[257.58489838 289.99487801],[254.62743138 260.99302984],[275.3099125  273.93239045],[295.77153058 232.18198188],[309.03280446 200.84726588],[317.08902855 176.96728682],[249.62526566 265.76940374],[249.34517166 240.9929848 ],[242.08718647 269.75666172],[235.04633831 291.58067857],[223.2329498  258.57816222],[231.2526415  226.16986436],[229.79457614 238.90977292],[226.62554528 250.4009418 ],[198.93820514 253.12037241],[205.87557796 211.43909339],[209.75611487 182.52869472],[211.0865506  154.60332013]
[211.67220894 341.60291063],[251.60678351 330.28340101],[267.1611653  304.64078249],[270.02989154 278.07195523],[256.78655917 253.9772612 ],[281.16410617 267.92818331],[298.84028092 225.54289405],[312.22876199 198.12066905],[321.14365046 176.22833185],[254.7115249  261.51506395],[258.5052789  236.30807883],[252.4112641  260.95171935],[246.73933244 278.5826801 ],[227.62005335 257.65052853],[234.35629523 230.48452504],[230.24144626 249.92155231],[226.30818397 265.27086194],[203.95279966 255.26593605],[208.14991247 215.22793349],[211.19851788 188.13987223],[215.08208037 160.47430339]
[211.12640886 331.67439319],[249.71342287 319.70366434],[264.70336377 299.24129491],[268.00491444 277.00030576],[256.90658372 253.71963893],[284.8813393  259.48658578],[304.22642624 218.40039267],[314.61713431 189.70728602],[319.70195997 168.42365581],[260.41975895 251.77690515],[258.0939247  224.90078274],[251.85478581 247.5912373 ],[247.5084059  267.77025826],[233.90031612 248.62228687],[238.36539564 220.41910721],[231.38038768 237.46485164],[227.50819833 255.30180201],[209.45478025 246.32136207],[213.37749071 205.97293065],[216.84496807 180.51179891],[221.861428 157.855659]
[211.59198655 329.92330387],[247.83690844 321.14447957],[261.85744319 298.31260825],[263.42601643 270.89135947],[253.51107042 242.56318834],[285.17146933 252.76844572],[300.86747393 213.41335126],[309.2199632  183.75329869],[312.15138765 159.32212854],[259.23554597 247.07136168],[259.75531655 225.98726841],[250.52576881 252.39543866],[242.41504068 271.55330977],[232.53723709 243.9790752 ],[235.84592526 219.6600003 ],[229.0226236  241.57279042],[223.99963962 259.85270294],[207.96269293 241.98893989],[210.40917819 201.39443713],[214.30346659 174.03092132],[218.99995565 148.56815541]
[208.10279582 324.65833329],[250.28696726 314.11035719],[266.87791159 287.87493431],[273.6216712  262.89297503],[265.24870484 238.03650348],[283.34503057 249.1661232 ],[300.52846073 207.09489073],[309.40328288 178.12121637],[312.44256325 156.64673171],[257.27490701 243.76706341],[259.53858623 218.56634321],[251.07434829 240.34099555],[243.94557332 258.92583976],[229.97581324 240.19593704],[236.62939685 211.07974018],[228.73756167 225.89180347],[223.2377637  241.26866521],[204.64548537 236.19137142],[206.83370658 195.91205266],[210.08636134 171.30144134],[215.76531166 149.72953936]
[204.52367383 324.75055832],[242.54973936 316.86989176],[258.64969964 291.07587433],[261.92000135 265.40518883],[251.97937898 235.72406601],[279.91718052 245.43022612],[299.26742846 203.34751136],[308.67330568 175.50135712],[309.20187222 155.15109097],[254.37557967 238.78975336],[259.0304932  214.40544675],[247.34941395 239.69777826],[235.45525537 261.07355134],[228.28189535 234.70431975],[235.74992166 204.37900295],[228.08901993 219.55041093],[221.05627133 236.67043614],[202.48355741 231.78048873],[203.47920574 189.50508947],[204.61853992 162.40841648],[206.51177239 140.78909804]
[205.34752011 322.41152767],[245.09549804 313.32771326],[262.07409108 285.73182815],[268.29052583 260.24715457],[262.71757595 234.31143831],[279.4399071 247.805898 ],[298.83379677 203.86811242],[308.04118097 175.59531308],[310.6457239  154.06764991],[254.24706457 241.22130616],[259.23611614 215.96723181],[249.7774378  239.17367085],[240.3358052 258.5279533],[227.57650788 236.02554128],[237.37582522 203.42361896],[230.5714855  211.31148938],[223.97496135 222.10356726],[201.25042877 232.67139725],[203.73035308 190.42680915],[205.52803129 164.92860049],[208.25205241 142.80807939]
[209.88898463 325.20020727],[249.45440819 315.45967175],[261.08637481 288.04287861],[263.3029567 261.8784744],[253.55680818 235.69262662],[283.58618279 249.39894832],[299.38883387 205.44500478],[306.87836935 176.93425488],[310.29138295 155.3320042 ],[258.68334926 242.62065879],[258.79469759 218.74445219],[249.10811965 245.46386488],[244.48046065 264.84588366],[231.80717689 238.67974438],[235.6414435  214.86801008],[225.86146308 238.02058839],[221.48907004 256.79348851],[207.24762512 236.15318237],[209.45545174 195.24922951],[212.33583611 169.91149398],[218.1379761  146.33412454]
[211.32525782 327.25947122],[248.41251011 319.12723606],[262.95807622 293.70180729],[263.82519797 270.13725279],[251.3952374  246.54874203],[284.73334459 253.43435898],[297.74318826 207.98088813],[306.33904222 178.60478181],[309.34059057 157.49550586],[259.4480788  246.77466453],[258.57722421 221.67705593],[246.6777169  248.30334732],[239.95286552 269.43859286],[231.33933956 242.09985701],[236.5351094  212.64714487],[226.1768535  231.19135152],[222.40236123 248.53349677],[205.59855794 239.02923416],[211.23462497 197.38053636],[215.36257131 172.74147374],[224.05359152 150.66578889]
[213.2301629  322.03483523],[243.37682766 322.74926854],[257.03021421 304.23529682],[255.86925265 283.7823862 ],[245.71884467 256.3061674 ],[284.84058751 251.03752912],[297.7245815 206.9746728],[306.50303053 177.9018453 ],[308.79966612 152.88607885],[258.916403   242.36942572],[257.02746133 227.2897009 ],[241.44151425 250.99147578],[229.98604597 271.73792511],[232.53073139 236.33451422],[234.94610142 210.25498145],[221.87611054 220.40474026],[214.17722093 233.76451792],[207.38254127 234.56697033],[213.74531988 195.21105064],[219.23176429 170.31438784],[226.88982091 150.00336137]
[216.08146063 343.44205409],[263.13944855 321.56105695],[276.58187586 288.98360209],[269.99578002 259.41871542],[255.41330363 233.18794754],[291.62622381 249.22229594],[310.05392168 200.39232034],[314.79410015 170.20292452],[314.09046983 149.02681618],[264.78058404 242.72381165],[266.38993048 205.7294544 ],[260.5358168  206.39610426],[255.59991356 210.44190508],[236.197867   241.28418856],[230.76621753 209.38623745],[223.15483418 221.63655865],[218.85855832 238.86160428],[207.65373596 245.3208604 ],[209.15130244 205.45980916],[217.44248642 186.68420344],[222.9614541  173.89204478]
[216.36449247 320.51669751],[252.82472631 318.47566445],[267.49839829 296.98869633],[265.66243239 275.99706559],[249.50776179 250.20586872],[288.23035384 245.89933523],[301.17255879 203.35925522],[307.8097751  176.93901227],[307.6080273  157.17757364],[262.70266539 239.45671853],[263.76225917 221.80641699],[247.73800966 244.68609759],[234.20262086 263.2312197 ],[237.64504791 236.2016535 ],[239.0120498  209.83823146],[227.63936961 221.24934594],[219.76587925 235.52140116],[215.23533022 237.33264284],[219.30488961 200.00499707],[223.01064814 180.94662552],[226.90046336 168.76294896]
[211.15630902 343.22773079],[250.27097539 331.61927944],[266.73534359 300.50738234],[265.84794277 272.96717323],[255.51500646 242.31995593],[292.0743143  250.79486112],[309.47008042 204.59039578],[316.35491147 173.22387401],[316.60481718 151.13035147],[267.20027081 243.60045452],[261.03439173 210.82398978],[247.70992139 227.44259111],[237.88194219 246.89323   ],[239.64110688 240.4618543 ],[234.73414693 205.38011025],[220.30813624 219.37484943],[213.25426883 240.64144494],[211.92180336 243.20493661],[221.38419555 201.87452128],[226.85380962 173.71266822],[229.96009949 152.36349471]
[203.80965877 339.31920653],[238.71386014 335.42708441],[255.12189191 309.72236598],[259.37877577 282.82551898],[253.96685578 251.72395878],[285.17259587 254.56242002],[307.85929474 207.78827854],[315.5823781  175.02322018],[317.0926256  150.13815782],[261.33266728 244.37359843],[258.57505254 209.53214148],[241.74006018 224.31653526],[231.73738292 240.28084151],[235.70214506 237.98885832],[233.44443783 200.85289878],[215.86561481 212.94270833],[209.99095059 230.68892168],[209.83349686 236.23950523],[220.82406506 194.01194689],[227.84566141 164.08556729],[235.25239012 139.23157302]
[213.01199137 322.58704482],[249.46943456 317.53901328],[264.22524827 291.78632756],[264.65847639 267.30213619],[251.51086352 238.40462674],[288.50420222 249.86166382],[311.35856632 209.65403407],[326.28595592 181.32216143],[333.2368906  160.28085031],[259.66823602 242.74977934],[263.98961933 222.17606813],[252.2543076  247.52752749],[240.83311225 268.03816133],[231.69723337 238.10492264],[238.56437036 212.67839364],[230.53014263 232.86436081],[222.71099484 250.78527022],[206.76955099 235.22849623],[210.59065742 192.44475276],[213.40822771 165.82749365],[215.46337118 142.49743048]
[209.36624076 327.23060313],[248.95722648 322.03740484],[265.04146299 297.65319246],[267.7946702  270.85642797],[259.13074748 242.56357044],[289.53131601 253.56073952],[315.87429942 217.28625751],[335.18206497 190.47586628],[347.09631792 168.11214801],[260.85989087 244.0165405 ],[265.82224704 217.01863219],[255.31376287 236.88088065],[244.22529585 259.38209511],[232.12526107 239.09188202],[240.78097553 208.11415178],[230.56600904 222.5861062 ],[222.97117173 239.75522931],[206.08823475 235.97790038],[208.35481759 193.71274131],[212.12366453 166.16520484],[215.49280101 143.62321777]
[213.31174319 327.04205939],[250.866086  321.9941514],[265.76932097 298.10561252],[265.7049343  272.84905374],[252.83040724 245.03213584],[291.0586156 253.8087808],[314.66590419 216.32078099],[334.26555649 191.69876335],[346.39357246 170.04764078],[261.34193987 243.87838193],[266.25674631 220.80600074],[254.11096918 245.91360888],[239.96100291 268.13372996],[232.83170015 238.41760551],[240.79520824 210.49564846],[230.57873861 228.46378344],[221.3109654 245.199762 ],[207.7905699  234.95841258],[212.19875778 192.64384071],[216.46439635 165.52651961],[219.01939401 141.88550976]
[210.18079785 324.81823321],[247.03958301 320.267892  ],[262.15306846 297.74821128],[262.70544338 271.66990185],[249.97368545 242.8051016 ],[288.1979864  255.08014916],[313.13730755 217.14767467],[331.30825828 191.41626078],[342.27306751 171.45516904],[260.5304677  244.74928242],[263.45164574 217.63258884],[253.22090374 238.9751429 ],[244.91722484 261.48422186],[231.9063334  239.72003899],[239.06585965 211.12429403],[228.31135659 230.66219092],[221.44495509 251.72920336],[206.53566967 235.91443441],[210.8358354  195.26960404],[213.53846078 169.90805368],[217.07364815 149.35067591]
[211.17284564 319.44004256],[248.80260678 314.12980144],[262.91068249 291.97058192],[259.28884161 268.74502127],[245.01898301 243.23179038],[285.48016801 250.29724012],[309.59689659 215.73661854],[330.35384831 192.83875357],[346.64302377 173.91976636],[258.91300049 240.42126186],[260.72970244 218.59374718],[250.96114833 242.16498269],[244.96248993 261.91021213],[230.28231197 235.87234703],[235.93525279 213.60328548],[226.9134503  236.36113581],[222.44661242 256.27303771],[205.4306287  234.09040309],[209.91972592 194.0122222 ],[213.97180621 170.29591388],[219.31006241 149.98842924]
[209.82083253 323.73754515],[245.49940661 321.75522487],[260.77646439 298.07920399],[260.14845201 272.55041752],[248.13135596 241.42425809],[289.68965698 255.63395904],[313.27172853 215.5527774 ],[330.04432951 189.20120986],[337.94309829 169.42512788],[261.04749575 246.47347432],[268.60452236 226.1867047 ],[255.71215626 251.33023672],[242.94304967 273.26701396],[233.61153177 240.574378  ],[242.40664342 216.1012684 ],[233.00845974 236.0456886 ],[224.6354933  254.50697172],[208.47012695 235.93345943],[215.20474118 196.08429691],[219.97103848 171.72262329],[223.50547427 151.97147203]
[208.17228458 321.5170654 ],[246.87371861 320.03542451],[264.08933979 299.9406703 ],[270.34417446 276.43455473],[263.22224913 248.3184422 ],[288.12682645 254.99315202],[309.39849828 214.31742338],[325.19877857 188.74016533],[334.04119073 168.11997441],[259.56573358 245.22890587],[266.20247987 220.97320272],[254.91662133 247.52831651],[243.55407847 272.4699533 ],[232.03541815 240.20617406],[243.9386443  212.59946631],[234.73034009 233.24522982],[226.07287061 254.58675273],[207.26906486 236.80042619],[216.22701851 193.32216913],[220.53618818 170.33727784],[223.44103237 153.12896012]
[209.79440222 320.82335399],[250.86990815 315.29680473],[266.67853016 293.98806286],[271.89319374 270.57411182],[262.12127289 246.39107837],[284.24079131 252.54053588],[306.7786056  212.30100138],[322.24864284 187.39090198],[331.38938923 167.31936505],[258.37489861 243.30778088],[263.6873462  220.91045477],[252.52305667 245.21367803],[242.64251452 265.53682848],[230.53160414 239.64991947],[242.14133675 215.34330146],[233.15576383 236.31741397],[225.29500203 254.95715386],[206.32088378 237.05211245],[210.90451144 197.44647842],[215.0762395  174.53950242],[220.95986376 154.01336859]
[208.46737356 319.18706575],[250.16084595 314.19554296],[265.59538941 292.1302692 ],[268.65831113 270.0803668 ],[256.84977684 247.34836607],[283.96297703 248.08411895],[305.48011999 207.92876291],[319.19873359 182.66025932],[327.75200185 161.44616874],[257.15579218 240.07583587],[261.023061   216.04871475],[248.14444237 239.69411255],[238.59204886 259.88155993],[228.72740875 236.52691213],[238.62107402 211.70462613],[228.33985323 234.11423927],[221.13334306 254.12816232],[203.62801731 233.49243395],[208.14089443 192.6476676 ],[209.26467514 169.3391627 ],[212.01424884 150.29770449]
[207.9370181 325.003575 ],[249.4329532  316.76769739],[265.59357603 291.49873596],[267.73213823 267.57116299],[255.09397776 242.22588209],[287.10173612 246.24130358],[308.04020913 206.55588982],[322.70776447 179.40647313],[330.64955031 156.94785405],[258.99197156 240.88705406],[264.20122588 221.57600107],[253.46130217 245.97913443],[242.54053531 264.2690983 ],[230.84818425 237.73857732],[238.85310082 213.85790948],[229.7230213  233.28844104],[222.08812862 249.39163677],[205.76090377 235.32968049],[208.24729613 192.44101346],[211.67443269 163.66911168],[216.54167289 137.29513529]
[218.12085202 314.15232092],[258.8492737  309.72528615],[274.88984907 287.90245352],[273.15210553 264.89185723],[257.98853571 239.24402098],[292.76239284 240.14666402],[312.90989382 200.18057344],[325.29083423 174.24928724],[332.5179026 153.2546385],[263.78596958 232.12120299],[266.67560944 217.13604832],[253.5811045  247.35594418],[242.20353647 270.74850691],[235.12366947 227.79099389],[242.84068398 205.05644332],[235.81746049 227.03751765],[229.59853586 245.45610008],[210.06950037 226.20240601],[213.41847354 182.84685414],[215.80044846 158.28090971],[218.70395715 137.39945696]
[215.01698604 311.601295  ],[261.52588383 307.60498678],[279.38246004 283.975983  ],[280.38784333 257.69541776],[267.49537433 228.87191004],[289.0929598  237.34480838],[310.41007739 198.24442024],[327.81862335 174.09304114],[335.93228962 157.55274587],[259.58551144 229.82860901],[271.34160981 209.37699856],[262.44485856 238.74858905],[249.39927417 263.78012154],[231.38024672 226.33613526],[244.28954465 199.87036142],[240.96625535 220.09440236],[233.69858527 238.39591232],[207.06463188 225.76346864],[212.38624493 183.16933658],[218.20300563 156.00937627],[222.14863468 134.07090359]
[219.81711235 311.70233267],[260.99288748 308.79164211],[277.43935323 287.56962201],[274.3826577  264.91578579],[256.50401125 242.20571565],[298.62786515 235.58920425],[316.41407503 199.70284489],[328.21013904 175.17448878],[335.10678269 154.45530125],[269.50224047 226.28998422],[272.01354951 213.73145342],[260.28399813 243.61307793],[249.71854593 265.79131372],[240.27833    223.67327362],[243.99201739 206.74111246],[234.44521619 235.01788035],[228.17198224 256.66442252],[213.70068605 222.87341566],[215.98411185 183.10305003],[220.56029116 156.317915  ],[226.90325937 131.52102197]
[221.12696527 313.21496442],[261.35211254 308.875162  ],[275.19698996 287.23827855],[269.24329597 266.05313926],[251.22286154 242.39255209],[297.30421411 235.72124838],[315.40365621 198.34549134],[328.51954264 174.53732489],[335.52643213 157.18832636],[268.7111886  226.88007102],[271.93268508 213.35387566],[258.70023837 246.6277569 ],[245.81694261 274.48410627],[240.61901997 223.18415683],[244.59029766 202.95321423],[235.73593574 230.11761142],[228.3846106  252.89646621],[214.90650606 221.90958336],[217.08033374 180.84500019],[221.42221518 155.13942335],[226.25786165 133.570791  ]
[216.3339258  312.83314204],[259.90215985 305.81555591],[275.10805715 282.57213979],[273.49507768 257.36090825],[259.98806147 229.19384625],[290.44656016 234.32459785],[311.97321273 195.40085938],[327.63051528 172.0110494 ],[335.85251116 154.98066928],[261.91584229 228.00767198],[267.93201596 205.78760247],[257.69749317 235.5405617 ],[246.16007416 260.91491827],[234.07418347 224.47200053],[242.16834122 195.84743609],[237.01319652 217.41637101],[231.06571397 236.62396179],[209.94164348 223.20480261],[212.77574005 180.15371193],[218.21521796 152.9089877 ],[223.46693614 129.31667031]
[220.18432871 312.75404251],[262.27020085 308.90100912],[279.61944102 288.03333953],[277.50598348 267.25163127],[259.12806689 244.83670562],[295.46728836 234.81454002],[315.63691572 196.76870732],[329.01756099 173.28729739],[336.47918117 154.391641  ],[266.75497059 227.04559677],[274.33173541 212.30498202],[262.34910072 244.66477434],[249.55728042 269.39063986],[239.71992344 223.84148227],[246.29979413 201.77027191],[238.4993329 226.0600052],[231.98584421 245.27830214],[216.001315   222.83716726],[218.66643487 181.04023244],[224.32575037 153.72688814],[230.67336381 129.47204471]
[219.43399    315.58294453],[262.20328017 310.53272911],[279.31872159 285.98783155],[276.46958798 264.43311333],[259.33971949 243.51253053],[292.52464512 233.65646295],[311.7623328 195.152733 ],[325.90260519 170.68940528],[335.04403786 150.20616297],[264.94940008 228.94295458],[270.58929256 215.32918096],[256.68175284 247.0250146 ],[244.03984553 268.67271277],[237.15973539 228.18254715],[241.96875453 205.41867452],[233.62749263 228.02938657],[228.16038572 243.4698997 ],[211.82445475 227.48797136],[212.06807367 184.71328416],[215.76508953 155.86072447],[221.94607773 129.59728882]
[211.8856273  316.60401696],[256.87732853 308.84238629],[275.02080205 284.68127341],[275.26158379 259.84764441],[259.6372126  238.75194064],[290.47646879 233.93089299],[307.98160608 197.99594313],[319.89269164 174.22144312],[327.12995341 153.18923163],[262.88079866 226.78980671],[268.92773527 211.59992617],[258.73892353 240.13455433],[247.03407601 261.25861546],[235.46720017 225.28610859],[242.77825646 207.68661089],[235.44475545 234.32067732],[228.45653585 254.4598961 ],[210.13814987 225.65906345],[210.85585991 185.8823918 ],[214.27615133 158.91407838],[217.22933645 133.33096166]
[213.18954914 316.86248973],[256.90319583 310.86483399],[277.79447841 286.90416539],[277.72125282 263.80916711],[259.09480005 245.30936755],[288.55677109 236.09052351],[304.338905   199.62625273],[316.35618079 177.17719118],[325.3660498  157.47886799],[262.40557954 230.38305413],[268.19194837 211.05229054],[262.24448716 239.42623493],[254.74594606 259.13735807],[234.3647462  230.23191083],[241.19565878 212.69512706],[235.65037889 239.60039432],[229.8976796  259.46311841],[207.62461619 230.36208971],[208.02082555 190.94260964],[211.77104438 163.53705703],[216.98875124 137.24310369]
[217.15453537 327.27220676],[262.03108774 314.94989721],[278.27604642 290.82009064],[275.74606802 268.26175636],[258.8667542  247.90751579],[289.19519918 240.40383267],[307.87166332 202.13600738],[319.13214696 177.1692867 ],[325.16175027 156.23711165],[263.39608673 236.80564392],[268.99842828 219.45485886],[263.75396995 248.41633167],[255.88669043 268.36083903],[236.64033345 237.83450931],[242.43929438 221.12326101],[239.12103502 248.70941067],[234.84790092 268.37263975],[211.6233827  239.81593012],[207.54593306 200.42461499],[207.41051965 172.3461279 ],[209.37278018 144.42912207]
[213.68898093 359.06536486],[262.07645882 331.20802313],[275.82289505 297.42726556],[274.64320663 266.50864734],[264.78739   241.2431199],[288.15796819 248.83606482],[308.23577823 205.32271747],[319.9571666  175.06781009],[327.21673519 149.87920898],[262.07367455 245.46129372],[266.72242004 213.57236759],[264.3015816  243.13814277],[259.14273132 270.48468707],[235.51294761 247.79336797],[239.3769042  219.63569761],[239.18031828 250.61216942],[236.9615064  279.78939154],[209.58874937 251.24888962],[205.05532964 209.19022552],[204.08278642 176.90281413],[203.34780936 147.94743211]
[220.86797172 341.59351903],[264.32101194 327.6331388 ],[280.47727911 306.36846256],[277.65168892 287.68142445],[262.35923385 269.25494561],[292.48847247 246.96354604],[310.54593142 207.27710482],[321.57920418 180.62115762],[327.77305079 159.13576645],[267.10068834 244.80623625],[269.83369802 223.87309418],[265.25462161 254.10729562],[259.23139235 275.36229669],[241.25181343 246.777178  ],[244.85991494 229.61919315],[239.6747463  263.62906693],[235.24733248 288.56570973],[217.15576541 249.27056806],[215.02524831 207.20428786],[213.50277164 179.92173444],[214.19408975 152.45743456]
[227.04956698 394.37627049],[267.74923821 362.46699906],[280.00436307 324.33008616],[279.08919617 283.23397545],[268.83341074 255.23610782],[307.46710955 267.06082683],[326.40162245 212.56827125],[332.21706291 177.39759553],[339.974907   147.85470005],[281.35264881 259.09296033],[275.21487688 212.4365776 ],[267.86804309 239.97022196],[266.36423226 269.46303788],[252.00994585 257.15954255],[244.49750636 217.70334624],[241.3055652  249.32810981],[245.24461626 280.94690571],[221.90802377 260.34587882],[219.95864574 210.32858468],[221.50120838 177.77943762],[224.2421733  151.46527702]
