[281.51518656 401.06510911],[314.67126675 397.42489819],[336.72523699 371.80915931],[331.15435075 344.61764408],[312.02731023 335.0144927 ],[338.98298481 322.01210737],[363.60101112 299.7546236 ],[381.67490789 280.10792586],[398.81577773 261.11556553],[313.36748014 309.95369087],[324.33763636 270.91992188],[334.59848353 242.83860454],[341.20054654 217.13356165],[286.83102354 310.63611251],[290.20239415 276.21738277],[295.46301595 247.66357051],[299.16391976 221.82132922],[259.25670966 321.33103014],[252.17266245 288.51848551],[246.43082881 270.62695633],[239.44960783 254.09025224]
[215.4955508  413.92609873],[265.79255989 398.8995783 ],[292.83411629 366.10309875],[290.77990068 338.88769994],[278.80183192 321.86535364],[299.0738674  318.67590344],[323.88041521 277.50635915],[334.59560957 245.32669671],[346.77615178 217.86401936],[266.06221252 307.42281336],[283.32976404 243.27949911],[293.88459054 199.42648399],[301.95275332 162.09284602],[230.36093275 306.26655338],[233.570068   246.32123292],[236.39220321 201.95216551],[239.86678973 166.24679599],[193.74125412 314.43556385],[190.01972169 264.61852116],[186.04853127 239.23302448],[182.76218891 217.5105838 ]
[218.74195511 411.6252787 ],[264.83578819 404.49259931],[289.36558816 376.64858727],[289.43595703 348.94363576],[281.97635434 327.0158022 ],[297.3586936  319.23437269],[325.89661048 277.7871386 ],[338.7789057  246.60908735],[353.9913964  219.97568997],[265.78392834 308.17359484],[283.77720371 245.25035441],[295.87472906 202.30774014],[308.91456286 164.10842559],[230.74966757 306.40087804],[237.11376465 247.54269438],[242.44738154 204.97170555],[249.05451659 169.14573688],[196.34391259 313.12124645],[193.01995313 263.4503071 ],[189.86624087 237.69882412],[188.07102239 215.97713796]
[219.42465528 408.80923998],[264.67741364 403.06852687],[292.34099924 374.46654012],[291.60333993 347.01538066],[280.69150228 329.86441278],[299.50761301 319.98817269],[327.80516495 279.88844734],[342.85566382 250.88216239],[357.75476595 225.20944   ],[265.92248875 304.97785696],[283.38342193 245.26306221],[297.24395845 204.75      ],[307.60506104 170.66057513],[230.78185195 301.4575501 ],[237.53466635 245.34583024],[243.40793838 205.18705098],[248.80433767 172.59428856],[195.98656248 306.70045882],[195.46323278 257.66844581],[194.12953864 232.60866469],[191.71532215 211.0537053 ]
[223.38371645 404.99035738],[265.62382069 398.2321008 ],[288.56344087 371.44061913],[282.37715552 342.08489864],[268.63957823 322.96450955],[297.79016861 319.73001727],[326.44440474 275.85416422],[342.31911745 246.68290348],[358.48275669 220.63312148],[267.11912079 303.93401212],[286.95362169 243.01517385],[300.64766589 202.23045447],[310.18433669 167.1578862 ],[234.10810066 300.00304023],[240.1432729  243.37069383],[247.9178241  204.05618858],[253.21577482 171.87566117],[200.47835828 301.82275997],[203.7690935  253.89114728],[207.4846742  234.24125439],[208.71676638 218.99244361]
[223.9604849  402.91074664],[271.41484418 394.20796685],[295.44271987 371.09579043],[295.29703451 345.64526293],[290.96746742 322.79349186],[303.46266644 323.7052519 ],[332.42964565 282.09349375],[344.26751855 252.97632529],[356.00665935 226.76389616],[271.66105221 306.05873397],[292.92013177 244.97386971],[309.35996677 202.03736683],[322.11765407 169.47878345],[237.78769939 300.12161428],[249.23437171 242.39952341],[262.68031242 201.62406762],[273.11636098 171.15769813],[203.64080246 300.88168979],[205.77924786 250.60841413],[213.25647239 223.53214934],[220.24507261 203.05056961]
[224.3553997  408.11565685],[273.94913977 388.69590088],[295.90851397 355.7663597 ],[292.94095891 326.13741311],[280.53887285 301.02888682],[301.9621627  314.02109092],[323.48133646 267.13628318],[332.64082711 237.46872017],[341.94556564 211.98794108],[271.11491674 301.97135383],[291.33120072 241.44395565],[305.09137411 197.06624662],[315.37125594 166.41960112],[238.13332781 300.91584505],[250.90235845 244.01725243],[265.4840392  203.49194195],[275.96853675 174.93682305],[204.5805119  305.65243653],[212.08254278 256.51808699],[221.88719923 231.03018789],[231.10731706 212.75397066]
[225.39188586 405.42793111],[265.17122757 396.84302995],[290.46621162 369.85113627],[291.76898792 337.24910603],[278.41648457 312.33784901],[300.72105797 314.88617488],[319.77188159 263.94431547],[324.53346231 234.4563114 ],[330.24020645 210.27836716],[272.76574637 298.81792724],[292.02753238 241.82467039],[300.51442501 202.42519317],[308.44533487 172.17438112],[242.02268574 296.84898178],[259.46883191 244.00643673],[269.91839671 207.59379693],[278.42074376 179.66529305],[210.08520496 302.68980951],[220.54188408 261.18013632],[227.37237285 235.76340967],[234.12532834 213.19252389]
[227.25374654 401.65810511],[264.67241001 390.14123585],[294.71794986 359.14044772],[294.66487657 328.91184678],[277.50139282 310.30669604],[301.23101039 305.64219884],[312.38670284 258.10346824],[317.5517325  230.08727347],[323.83811554 204.78757298],[275.85180871 292.52787702],[293.40516896 242.76581712],[301.05698362 208.21587159],[307.26993959 175.67491637],[248.40760485 292.85314151],[265.45389432 246.64084884],[276.23252611 213.59288077],[285.19457004 185.85131804],[216.60807934 301.17870208],[228.27201734 264.60049333],[235.88795553 244.21436949],[243.39170023 225.32096821]
[214.7329173  406.29105154],[264.83368822 389.69734228],[295.12177526 356.77806944],[293.14436729 321.92370797],[271.93925185 289.1646236 ],[295.57544114 316.49792432],[311.28759762 259.48945515],[320.85039265 219.7546357 ],[333.02665711 184.64091735],[266.3544066  302.21748209],[284.21817919 239.12129735],[301.80182634 192.09957956],[314.50911492 158.7568046 ],[236.15513709 298.21094967],[256.27340112 242.34504283],[277.57734336 203.43039813],[289.4304653 176.5767465],[205.56845902 302.96060067],[220.69957311 255.22910569],[234.25067062 226.60884553],[243.0117202  205.38724224]
[215.33114206 410.2459368 ],[263.39667686 391.02118222],[294.04549696 356.70150576],[296.41749265 318.3310245 ],[285.1601848  288.98717929],[295.24981553 308.86497038],[307.10026565 253.91879182],[312.48929951 219.86342544],[318.3497971  190.41207413],[264.45424324 296.57586749],[281.12266645 239.35723145],[291.40511369 202.11440236],[297.38033153 173.00912685],[235.91691673 294.16569275],[251.55784498 242.92491518],[265.50174955 209.31069096],[275.58286037 184.5497621 ],[208.76852366 300.30632227],[220.5970869  259.10147944],[232.10800392 234.60860882],[242.8443752  214.51363829]
[223.69127028 386.38528113],[265.55791767 379.31246169],[290.04706981 357.18551096],[288.16310904 331.13932253],[271.15149041 313.46909319],[290.58146524 304.06011791],[301.42514176 255.11710686],[307.28136814 224.0303735 ],[311.37067433 198.73453205],[262.22997352 292.8835019 ],[276.48579419 240.55440033],[285.30268392 206.44434627],[289.66896218 178.36085198],[235.3247426 291.2412635],[245.71833113 240.88266809],[255.96240691 209.00801395],[263.73973394 186.79444099],[208.26965745 296.74830277],[216.75522417 256.3417001 ],[225.26279739 232.34062695],[233.29968489 213.89651683]
[222.044312   385.16971649],[267.23649288 378.13134302],[291.58515491 354.58514195],[288.77782983 325.54530095],[272.36429565 305.49194138],[290.04847221 302.34948522],[300.13035538 251.14924309],[305.14902962 220.34514932],[309.2165064  195.63251146],[260.71972745 291.23354856],[274.90397735 236.16463312],[284.16969919 203.18009216],[289.25488536 177.11635507],[233.1882091 289.1600715],[244.80579795 237.35256103],[256.02541569 206.02635625],[264.25154633 184.82430602],[205.87142573 294.19536156],[216.32812906 253.40235649],[225.61954538 229.97913471],[233.55308194 212.96959373]
[211.45158775 401.09027161],[261.59569954 389.01154716],[284.5349725 363.7193597],[288.27147195 336.88922546],[280.88004561 311.0068133 ],[290.42733766 320.84359094],[315.55479175 270.33625894],[320.91704426 240.16379109],[327.54044385 215.82653107],[257.68992032 303.107321  ],[281.25642155 235.41962963],[293.25267838 188.40582813],[303.93945743 156.83712334],[225.75829915 295.30361419],[241.78058032 229.72122902],[252.48581964 185.77994235],[261.45514388 159.00840988],[195.09703329 291.48732275],[203.95615656 236.6663069 ],[209.60890496 207.68774184],[216.62886168 189.48400045]
[212.33324833 410.04034126],[264.02006626 394.79455159],[290.30850607 363.8940553 ],[288.27107815 329.67430633],[276.62647108 310.54674579],[290.81674883 312.67308282],[317.10310498 265.56857823],[329.45598273 236.0374739 ],[340.48127597 211.43330092],[258.48145235 296.63708327],[277.88409217 235.05029769],[289.26482059 193.01037077],[297.85826291 159.24337903],[225.16271877 290.49827815],[232.03061967 229.82277265],[236.8406811  190.39297926],[242.39277696 162.98044303],[193.06153846 289.66381195],[193.43848403 238.35092532],[194.36244687 212.56626498],[197.32411847 192.55566467]
[218.3098037  390.13958684],[258.20694917 385.53177122],[280.83202123 363.77212397],[270.87711203 334.82865754],[251.07639108 320.9749606 ],[292.18021215 305.83576187],[322.24724649 268.90153639],[339.48714703 240.03584488],[355.50692753 215.34408064],[259.21357254 288.47313285],[275.57144379 232.6481124 ],[286.86647501 196.91028688],[293.83717299 167.69615954],[227.04333739 286.86523301],[230.70600618 235.16334808],[235.07184323 198.94160107],[239.36449465 169.70709363],[195.81030631 295.02200942],[190.89094906 250.20910211],[186.19542808 231.25176504],[180.68537881 215.23390934]
[210.2651022  406.82247143],[259.45176742 393.08861985],[287.51305342 360.89401059],[275.34470309 318.10443123],[249.2023728  295.69267789],[297.22273375 301.6492057 ],[322.05382478 267.73684973],[341.28573451 240.12368396],[360.42150792 215.58099301],[263.71400389 287.32388836],[276.16889716 234.20785641],[286.03236345 196.41323641],[294.10202209 161.25882665],[228.84084117 285.29324596],[227.92643103 233.93353234],[230.12106132 198.74207945],[234.18385657 170.19386354],[196.98293198 292.14726159],[192.18505592 253.70301829],[187.92494601 245.36106998],[184.27582448 238.78012092]
[209.73702639 408.87650874],[262.06244875 395.29267602],[287.62978067 360.45302252],[273.96735355 317.56539114],[247.50129273 297.0624598 ],[295.92738401 302.49026789],[321.96965206 271.4391137 ],[340.91704544 243.90741623],[360.10284572 218.6227164 ],[262.30442721 288.84229072],[275.98857989 238.73642413],[287.22203912 199.86596938],[295.55539605 162.74076393],[227.7784538  288.81271375],[227.26423754 239.60455163],[229.89204699 201.32481361],[233.48811922 169.6544653 ],[195.14547754 298.76007539],[194.23989369 259.40130965],[191.25621597 250.75990375],[186.87659613 244.64833796]
[207.90569447 406.23464694],[256.28471498 394.53260132],[284.23365604 359.83040461],[276.25677777 319.11657263],[257.05488935 300.48281879],[294.84632155 302.09591427],[323.28648792 269.90156053],[342.4522481  242.30751948],[362.13814585 217.38198674],[262.29726368 286.34871386],[276.67282599 234.10222581],[285.17138139 196.02952897],[293.36871986 162.27695727],[228.89740439 283.98751002],[228.10727235 234.37674629],[229.92009509 198.88826569],[234.96421794 170.51453165],[197.43775786 289.88245355],[191.53564059 249.80439762],[186.7409193  236.44635865],[182.82688777 225.81586282]
[212.32966993 388.41289882],[255.46656911 387.9162902 ],[284.00905661 361.85095995],[279.93601458 330.91798837],[265.2447085  317.61208794],[294.72851194 302.16604638],[325.10655579 269.4482193 ],[343.58608944 241.83797678],[361.21031325 217.09450544],[262.53022448 285.75149151],[277.48865898 233.54265898],[288.31064289 197.26201489],[296.13914225 167.70720588],[229.93187698 284.38738241],[235.3459029  235.10986565],[243.06346942 198.84313566],[250.11260234 169.3269715 ],[197.3903272  291.91445394],[191.75328726 246.22940023],[187.45514728 221.761275  ],[183.29302782 199.98264724]
[204.27733405 391.38413063],[246.20917762 391.31023575],[274.92052554 367.55442844],[276.9140267  337.26988696],[268.66470682 322.31670742],[293.27354014 304.5125885 ],[327.33891904 278.11136243],[348.47980564 253.92259903],[370.16860407 233.52327583],[264.35980948 284.18776421],[285.15749831 235.50434946],[298.90266872 199.21017772],[311.84460403 171.60888199],[232.45628566 277.12946695],[242.18799648 227.63305138],[251.5816348  192.97173468],[261.81959724 169.68351943],[201.37209017 276.52627412],[202.15524663 232.37148167],[202.65103291 206.27540784],[203.98479898 188.66875266]
[204.56670811 391.84420019],[251.05689734 392.34343339],[284.14991053 368.80896674],[284.52547192 340.01875627],[273.69818258 329.57552882],[297.90963257 302.15582132],[328.94027639 273.45918533],[349.5373185  248.04395298],[370.60391466 226.21174057],[265.21163984 279.92586386],[283.71789021 231.05126813],[297.86887232 194.75672147],[312.30881801 164.89221083],[232.37357795 271.95471037],[238.98370722 224.89334245],[247.49839658 189.1402841 ],[257.72869689 163.49738326],[198.48480627 271.94016215],[196.86848287 229.8035814 ],[198.23162582 203.93483627],[201.06562672 184.70479826]
[199.82741713 385.80840245],[247.7359313  399.55784181],[282.12977757 384.31545015],[297.72829737 358.22511582],[299.18509975 337.35780533],[287.19045716 326.8438665 ],[335.06137553 287.54313219],[361.317689   260.40633531],[382.62559078 236.54413125],[253.00451734 297.31588911],[287.9687991  236.27999698],[310.73545182 197.51534578],[326.52554554 165.84134004],[218.799317   280.07146768],[239.62372426 223.21370771],[256.94087345 187.12349984],[270.45619936 157.5707346 ],[186.19306249 270.57803404],[189.1276637  221.16853882],[196.99728419 193.50810703],[206.25075671 169.41501862]
[198.84158836 368.8985101 ],[237.43465004 389.81551937],[272.37395639 382.81836043],[289.32158549 362.62707078],[291.70659921 344.29124687],[282.89476799 326.64667492],[330.01050948 291.67321865],[355.48300011 266.25832814],[375.14018528 243.35688667],[250.77283737 294.04430373],[286.01419878 234.06850958],[309.61631437 200.39566882],[326.46550709 171.93532059],[219.5178724  275.34360427],[241.56034123 217.24111303],[260.25384335 187.27303698],[276.49641596 163.41321658],[189.48011066 266.16802907],[193.90826148 216.18945895],[203.52440694 189.97218698],[216.11148099 168.37119094]
[201.02734769 390.4861365 ],[245.82528832 396.2635115 ],[283.3478327  368.33954473],[294.06679185 342.72090206],[287.65923675 327.29542019],[285.74653638 311.6890098 ],[319.97463966 272.09802554],[336.63101006 247.75819196],[354.23214678 221.96003832],[250.03567582 291.24123587],[278.1693404  230.08089899],[291.05703081 191.90480924],[301.62198562 156.77185305],[213.38593057 281.52383098],[234.73077877 224.07040333],[242.91042445 182.19841694],[251.15090041 146.39555046],[178.60975904 279.94668482],[185.59132299 232.55178705],[188.44940044 206.02492531],[193.15972065 182.93357717]
[195.3250796  390.47652404],[246.60953152 376.19706395],[266.26920218 338.10144466],[259.32354515 306.56892303],[240.79046812 288.7675198 ],[274.42611641 282.92285027],[297.20359644 242.74178413],[308.23852173 211.74396363],[323.43705491 183.80460198],[239.01700989 272.64182576],[250.84145524 213.85212414],[254.06140683 172.63036334],[260.5822438  139.04292287],[205.43026496 273.95168876],[209.12727408 221.20415388],[210.31712854 181.99562727],[216.55753702 155.4400422 ],[173.41162754 281.22949152],[165.6305337 238.7197812],[164.17071277 214.97172805],[166.04449525 197.28321095]
[214.81323768 394.7436641 ],[259.25261999 373.62068152],[276.03816415 331.3602868 ],[268.0859472 298.8365607],[244.79750967 281.3337749 ],[269.99899564 277.34638612],[289.7091244 234.1220501],[297.50259779 202.9807004 ],[306.8412738  178.28571355],[235.15339127 271.13430473],[243.68559658 209.47822335],[241.71798473 168.47821993],[243.09370175 141.14820682],[202.83599847 276.03253014],[204.6709719  222.24289148],[199.90322204 186.18045183],[202.15120276 164.24456654],[171.39532602 288.72341006],[154.65059277 250.98509722],[146.67121545 229.7145223 ],[145.17279722 214.21039195]
[210.83425607 397.32003263],[265.00358534 378.30155101],[281.76857413 336.37319167],[267.9935852  303.76967202],[246.68752779 286.23987301],[277.32997219 283.14042418],[292.61268704 239.19836182],[298.69652183 205.0551595 ],[308.33963384 174.70476209],[239.16481422 280.64459561],[241.36831377 220.59387198],[237.75413075 177.56457161],[237.66440103 143.82407878],[203.22301496 287.45482373],[196.3582652  232.64574033],[190.94709906 196.66729078],[193.9420333  174.78859004],[172.68503856 300.47942882],[156.26044363 259.78089982],[150.27534084 240.46228799],[147.70218688 227.65131514]
[204.90029218 407.92751304],[255.85790407 392.91247323],[274.22216407 349.22985287],[259.07210876 311.76672971],[233.37839217 293.76973885],[270.31575493 290.54393254],[284.12164647 249.29959336],[296.38261496 213.7774595 ],[308.90737916 181.30171499],[233.95999234 284.49534829],[235.18582485 231.60500782],[232.48547881 189.79578864],[228.28333879 156.74507697],[201.18077931 291.24189627],[196.17438496 241.94405211],[192.98477481 208.30576258],[193.90318999 187.3244413 ],[173.04001335 307.69312067],[159.18387379 267.64743856],[153.83016221 249.71956275],[149.77859494 237.42668822]
