[271.1127778  317.65986382],[290.12181144 288.21283203],[282.74542179 256.43498788],[272.04723903 209.77078221],[262.85169067 158.39992662],[245.3732731  248.49248929],[288.85870586 260.45691219],[298.23313353 262.19719959],[292.10559788 256.13540626],[231.87383245 278.62192375],[311.4986075  292.21310818],[321.02712946 294.64571269],[317.45535589 300.75170474],[228.22617082 313.47584788],[300.59707205 329.46640667],[306.21979829 321.24884229],[300.41907343 320.70263843],[232.05515711 351.55596859],[282.87152838 357.42465003],[289.58445795 351.42858192],[283.93419078 355.09371952]
[250.45456506 350.57255284],[272.8706185  311.59472041],[268.44675514 279.34718757],[263.38307396 239.02858811],[262.3723789  197.04855701],[226.72383975 252.94505872],[240.45587106 231.21893741],[237.28562928 211.80680127],[234.34014366 194.51160194],[208.57316599 279.87062916],[297.4043023 275.0455087],[312.37560657 289.47995439],[306.24175092 297.26347433],[203.31568065 313.23337726],[281.22171614 318.99839478],[290.05460989 330.71854699],[280.67191959 339.12416507],[205.13314249 352.15039538],[253.75348925 353.80683137],[266.33460974 363.26448326],[262.07846428 381.07230667]
[208.11589559 354.35392101],[238.64738058 294.20576959],[253.59466421 261.75842195],[259.26800704 228.88404953],[256.22753281 195.3794665 ],[215.8909976 268.0135553],[255.61169841 259.67569157],[261.56097299 248.32493067],[256.5110723  239.96134363],[198.81210864 297.26490849],[296.18327931 301.8563432 ],[314.22332968 308.85423903],[308.42578136 309.72962355],[195.73993586 328.08514706],[289.82485969 341.0274146 ],[295.55162483 345.85845993],[282.61135231 343.85101026],[196.00876631 360.8414449 ],[260.05030113 365.50926337],[272.54803441 367.5499493 ],[265.61105025 372.57859897]
[178.62167114 341.18236861],[221.7651928 320.1731452],[247.72257115 299.52123387],[265.17342503 277.64515147],[271.88024966 255.9835907 ],[197.68547664 252.31830868],[233.08202909 234.52702053],[240.49168601 221.0728176 ],[241.29459037 207.7639926 ],[171.65000654 268.25174748],[264.54088167 296.33808646],[288.50087794 316.79926183],[287.21382648 315.89708332],[160.69668264 293.07907598],[254.17871696 328.76062081],[278.32656989 337.80755991],[279.38903028 333.31601173],[157.76408819 323.88452182],[219.05167734 347.91195618],[243.95547574 359.4028396 ],[247.36002654 367.7321166 ]
[176.07126811 340.52050235],[217.02060612 289.52857505],[234.64154519 235.73727555],[240.28608892 194.61447458],[234.87930264 157.03192965],[235.19063244 258.09710896],[282.16521941 269.97529615],[270.96080449 280.30384304],[253.62554809 273.22218157],[224.79216891 291.75132709],[295.66979796 308.3865075 ],[281.80005009 316.80830203],[257.27038334 309.87688702],[217.16945088 328.12036506],[282.74224555 338.83765599],[271.37931309 342.58227465],[247.83236357 337.20328041],[212.09534567 360.850558  ],[268.59768954 360.81093741],[258.25647043 359.70768023],[237.46073577 351.2218143 ]
[187.65682494 325.14022561],[204.5179173  278.38866655],[230.35536642 240.75287413],[243.93409761 204.19234333],[244.42254914 162.13880228],[252.99175114 260.84333134],[307.49633198 254.91626037],[285.72995877 259.03283452],[262.76470512 259.69847441],[248.15102496 291.65672312],[306.67047662 292.25477698],[278.11762617 296.41640266],[259.60353958 292.31363482],[242.02669349 321.75098474],[296.88491583 323.61056232],[267.5700628  325.21322385],[247.32713637 320.62150617],[237.06085455 349.02514603],[285.14479271 351.13891857],[266.92530106 348.85140869],[251.98672479 344.45675815]
[195.44126659 318.71688813],[210.1406617  270.69868929],[237.61159884 230.54501668],[253.60596122 193.36005435],[257.45930699 156.03149034],[265.8910026 250.2047144],[319.39424128 252.08689639],[294.67382958 257.41662045],[275.99616541 254.09564124],[262.51631005 281.25155354],[314.47852279 286.21847868],[284.31079776 289.36833433],[268.66541683 282.15676661],[259.15416748 310.61161854],[305.53841561 313.38472767],[276.63884145 315.76593076],[259.75372504 310.91696231],[257.24820295 340.10159354],[299.88439901 338.25590425],[276.17151752 336.92929425],[259.43203898 331.33071322]
[200.26019598 330.30117752],[217.5162801  281.58638996],[245.09452601 237.6995304 ],[266.60387348 202.08977855],[272.8874002  169.55975402],[284.28256893 260.84602805],[337.7036425  255.76538593],[311.62247985 264.89501061],[287.30066785 269.02799736],[285.33746268 291.85683437],[335.15386494 286.95594851],[302.46520125 291.70986775],[284.74556425 287.65438687],[280.92737965 320.07030832],[324.40162668 313.85027239],[289.57383126 317.18973954],[270.31997565 315.50998888],[277.42306978 347.84083567],[310.44382115 341.28026501],[284.0106658 342.0261241],[268.41801506 341.0936116 ]
[201.18864239 335.99194407],[220.12116781 287.5989702 ],[244.95844511 245.68895088],[266.07037336 211.42759004],[272.5335038  185.35229695],[289.931851   271.49834659],[348.79225793 270.83322906],[353.8696614  274.46698925],[346.80831163 275.39269631],[293.58881536 302.41432788],[343.82986044 305.20644984],[317.7806874  307.37737146],[294.78080798 303.31354853],[289.23432675 332.50032678],[334.97846367 334.96452013],[309.20758727 335.04292014],[287.56942006 332.13868356],[285.83100734 360.23257756],[318.1773997  363.12726877],[297.93711768 360.840499  ],[282.08388705 357.11840523]
[189.19442247 343.91904263],[217.64113973 294.77136582],[250.01488814 250.27176462],[269.76447423 212.36170643],[271.44055272 177.45880748],[303.50157511 283.38759306],[366.82888408 271.20771056],[388.47322811 260.07793483],[399.39641535 251.28748754],[309.86580829 310.86973976],[350.2136301  303.94351253],[322.38063437 302.45297094],[301.74589543 303.73125794],[303.36570783 340.10730643],[333.51464173 332.67728354],[303.77752313 331.3889271 ],[282.68841869 336.49363256],[295.97894844 367.94394577],[316.62399025 358.15380981],[291.86536599 353.15222813],[273.19880336 355.02483872]
[189.4127162 341.4398467],[210.87957787 292.64669759],[240.1701867  252.32546318],[262.33355936 221.77270378],[276.65396529 193.24600485],[300.6456556  285.19460981],[350.89461106 281.35015129],[378.65217155 276.37868344],[392.32952435 273.19450108],[305.95908987 314.24052086],[334.25903464 314.43811129],[314.39749833 313.62825698],[292.45160772 313.10042184],[298.05487465 343.03529208],[323.83297518 343.82074101],[305.26265787 340.61771761],[283.59540256 340.40319032],[288.91274425 370.81891799],[308.50892777 372.7958957 ],[291.65705074 365.35905181],[274.9158935  358.23778028]
[186.6027764  339.33905767],[204.61599257 296.92751761],[231.60287187 252.89821063],[251.16791345 218.69396583],[262.13516656 192.33492996],[299.81125412 285.0563872 ],[347.24642552 285.56282251],[373.73889598 283.19302381],[385.91670378 281.98710375],[303.32879488 313.5305255 ],[331.18625603 317.5932305 ],[310.0959005  316.19699167],[285.40481106 313.33679154],[295.33520461 343.31489564],[321.80972939 348.00406506],[303.74147617 344.88477957],[281.42641517 342.80330586],[286.92294295 372.18399852],[307.06000772 376.44812636],[288.98741794 369.42770513],[269.22881003 362.63991984]
[166.29623323 345.34282151],[191.18490614 295.05026427],[226.07398115 251.67092119],[248.05570598 219.30634765],[259.10856239 192.17104769],[293.4426193  286.73103388],[351.85967239 287.61559416],[379.82730494 287.48554484],[394.38446126 287.03828271],[299.85819482 315.22885304],[322.54077992 321.50820493],[302.5037277  325.46299531],[287.35501415 327.22666786],[291.61237075 345.2171547 ],[313.33797774 351.99815962],[294.57870225 355.99570299],[279.22203924 359.73618819],[282.04150392 374.66574437],[297.74474132 377.88676381],[277.73084253 376.54813153],[264.1715629  376.43727605]
[168.52362486 344.41480987],[193.83423713 294.1406069 ],[225.43025757 249.42018497],[244.81671407 214.03255574],[252.66121976 183.6459274 ],[294.22597882 286.03405099],[352.3744574  288.03654519],[380.6248214  289.82450117],[393.70572111 291.73497368],[297.80326629 315.5163855 ],[322.00687585 322.59908587],[304.86700466 327.45659331],[291.36671508 329.89473735],[287.77960731 345.70573608],[309.6018031  353.60196351],[292.33762358 357.27636606],[278.31725669 360.9994328 ],[277.73564838 375.43701182],[293.45754858 376.77952867],[275.64108654 375.52708297],[264.4630245  375.68669797]
[158.13578156 345.21120525],[186.36530722 295.6903176 ],[222.57728932 250.99466769],[241.891923   214.16559193],[247.46021828 177.60553065],[282.44233757 287.7560444 ],[346.1781221  291.83017937],[380.27775836 293.66571236],[397.09591186 294.1574693 ],[287.05415063 319.18976842],[322.26653076 318.17034548],[302.54653802 319.20489098],[281.45976413 316.52790226],[279.49703862 348.70933443],[310.74570851 348.94630274],[294.77774418 348.60885628],[277.14019557 347.68094049],[272.21610699 376.49622388],[291.55642827 379.24178164],[274.70829277 375.0894119 ],[258.3983292  370.90525197]
[162.0472117  343.24665747],[186.4179011  295.61008533],[221.56314421 251.18390627],[240.78139125 210.31503947],[242.17311326 168.39509491],[282.66972142 282.41643047],[343.30604608 283.19182807],[373.56694392 286.29484411],[387.66772302 289.20665647],[287.95146833 313.44680524],[328.68947585 316.57023469],[314.27016037 316.29277756],[290.03166995 309.63494341],[279.66918381 342.34191556],[315.76717826 347.15968717],[303.58132226 347.85195984],[285.44738071 345.27667795],[270.98673327 369.93523258],[295.69531466 372.97700911],[285.8655846  369.52341731],[271.31240568 364.8774404 ]
[169.74868694 334.26170252],[192.0574493  291.57858332],[225.40301352 245.28894946],[244.97191036 204.16745318],[246.77516974 170.06237569],[290.43592908 276.04051046],[349.9075612  272.92405957],[379.05276105 271.69467408],[395.9729036  271.55222728],[294.21165446 303.76585299],[326.31982714 306.4123427 ],[304.15535413 310.6522314 ],[282.56234326 309.66012013],[286.22353045 333.04767089],[318.06813979 335.60837972],[299.78729781 339.7393485 ],[282.64763984 343.2636282 ],[277.95856801 361.93495946],[301.06001369 363.13826533],[282.4128035  363.02332375],[266.94151391 362.72084327]
[181.45199426 336.09468417],[205.44519626 288.71533561],[235.59213627 244.43432761],[258.1144784  203.05988715],[257.11971423 168.09838228],[309.15701607 275.58358691],[378.09741852 263.28745863],[404.42238943 256.24721286],[418.41208332 249.92918365],[314.89976233 305.22283046],[342.41006019 308.03206169],[318.28526094 312.28465866],[310.33492683 312.68042896],[308.87891814 338.14362171],[338.65007178 344.36557287],[315.11823532 343.89197184],[303.51474734 342.07381147],[301.98227836 368.81409523],[325.79347015 361.35390377],[299.68051616 356.7602001 ],[285.24583307 353.92802101]
[204.00243274 325.45007587],[220.48468168 279.72859001],[247.32420927 237.42666595],[264.22285201 198.82875735],[273.65590133 166.75329186],[320.84209108 272.75911668],[376.85877309 267.36067154],[400.91317889 264.30152746],[414.00453211 261.39284151],[325.54219063 299.41844032],[342.19193508 297.07531648],[316.55448643 303.6227263 ],[306.9689218 306.645053 ],[318.64108522 328.57510254],[334.94916779 334.28692426],[310.69177392 336.33844547],[299.13266676 336.57124396],[310.06893293 358.71131088],[323.89268045 349.62479904],[300.52471058 345.65407772],[291.22793685 344.62662005]
[221.35174257 322.17810062],[243.55306595 274.60840254],[265.46417983 232.69131292],[289.2067395  199.90301916],[304.37544623 175.0352136 ],[332.05994405 264.21830713],[391.69472564 255.75633614],[411.63824469 254.08459125],[420.52666408 251.05588895],[337.739386   291.06793235],[362.07591865 297.57407418],[341.18031955 301.6989045 ],[330.91493961 299.70883703],[332.30321246 323.01957178],[353.93056644 335.37997181],[332.5904369  334.87387212],[318.06934371 329.55992293],[323.41207002 353.44297723],[346.05525993 350.83398418],[324.53831    345.06251293],[310.59706983 339.15602404]
[229.43853398 322.72960957],[249.82458801 275.68155158],[278.42624336 237.29144421],[297.57405434 202.7991904 ],[306.08923786 173.75362283],[340.50444294 261.42404509],[385.30005752 255.1114399 ],[395.77809607 249.72075027],[400.38458673 243.80748955],[342.84616159 286.16121213],[366.87421184 289.04429168],[341.67185289 289.10012028],[325.28771662 287.3496574 ],[337.11054756 315.75018345],[356.33455708 320.32996956],[331.04397985 318.28736272],[312.32893093 316.21464132],[330.0215696  344.51313184],[349.04238702 341.74558221],[325.66969785 339.3823475 ],[309.06247664 339.95803962]
[224.11130355 325.17600629],[247.44656228 279.00993052],[279.62340577 236.57948754],[303.14283295 204.06763598],[314.58951933 171.98222295],[322.16224783 258.77405265],[378.28042612 253.72410159],[364.31800063 258.43993281],[346.07800515 260.36932046],[322.94488032 284.23883475],[372.0319898  287.93806934],[346.42250713 291.3178941 ],[327.64977731 290.45632031],[318.43214423 311.67221039],[363.74828932 316.58292427],[338.25260019 321.06972665],[319.14369308 323.28030269],[312.84308194 338.8993816 ],[349.7640242  339.01911032],[331.59552586 339.7216438 ],[318.34941807 341.07926631]
[223.54614427 326.16741478],[245.00748413 279.10756303],[272.46723157 237.35278388],[297.27983    203.99586214],[309.30239723 172.62201265],[307.27655079 261.20491007],[364.27591262 252.75036188],[349.06062846 256.94119132],[328.44161715 259.69111271],[308.96371336 287.5103586 ],[361.85878564 286.31200247],[333.66097037 290.42619909],[313.91023235 288.95297067],[304.91109589 315.09699147],[352.6162171  314.95052805],[326.16216525 318.78871849],[308.12894979 319.85584614],[301.22821696 343.58148231],[339.39050288 342.99216772],[319.81851011 343.02695002],[306.68244958 341.8648515 ]
[202.78537845 333.22914327],[230.76387581 282.44530474],[263.1588148 238.4542533],[285.99027071 201.38511794],[292.35083645 165.76240056],[305.18453101 258.95756024],[363.65051163 249.4448808 ],[348.7286612  253.42760695],[329.0403194  255.85049718],[303.93068558 285.06489704],[356.31118942 289.49922565],[327.5055852  295.27613431],[309.06591096 292.16889573],[297.17701587 313.53189254],[345.66865276 319.26160984],[313.67601816 322.4257824 ],[293.10703122 321.69843267],[290.30866158 341.33781341],[328.37045152 344.46128328],[305.36134844 341.42034664],[289.11115771 338.65741493]
[203.55250644 320.70698733],[220.97748389 276.64694574],[248.16288053 237.0781581 ],[267.08870186 199.72603278],[276.30354432 163.65291406],[271.06078954 253.60164602],[333.43210118 251.54849646],[316.15469611 259.33971253],[295.81004275 259.78740407],[269.22789244 283.31938637],[334.38797629 288.47718507],[308.56668089 293.88387243],[287.84484399 288.39462565],[267.33423352 311.48578408],[325.65164606 315.15206095],[299.52908219 319.30584318],[281.95157741 316.7255929 ],[266.41248869 338.55696588],[313.59942674 335.66919729],[293.17932243 336.06110942],[276.61998809 333.74602953]
[188.73160424 309.40405491],[214.90965044 263.38584576],[243.47967792 225.90776406],[256.2912958  191.59299407],[259.00693012 155.01321758],[255.84998266 246.89696368],[314.0062893  255.75765009],[296.89092856 263.77060161],[277.24461323 259.37203781],[247.53116845 274.48709087],[309.71585238 287.27215408],[287.47771457 293.05779654],[267.9654746 288.0891367],[241.07716388 303.46134983],[301.36794839 311.62440513],[281.25059323 317.49928464],[263.33676139 314.28791851],[237.00365389 332.42118092],[289.86605766 334.58396137],[276.15260055 336.73074018],[262.15303225 333.05333819]
[181.91410685 315.1645255 ],[203.55188338 269.5250543 ],[230.12361426 231.34510762],[243.65808582 197.50765394],[243.43970831 169.49349415],[243.22954343 246.95003969],[298.82533409 248.1377822 ],[276.65206373 254.80478859],[255.29678488 250.66399577],[236.37899763 276.19823429],[299.67367638 285.16972831],[271.58329845 290.37056396],[252.17870689 283.80146147],[231.04522632 306.76859965],[290.02015012 312.25678007],[265.42762504 314.32961823],[245.77461157 309.25986701],[227.94791965 336.95843712],[279.99346709 336.04629259],[261.6493579  333.23416952],[243.84609223 326.53732421]
[170.31708278 310.11340271],[193.16349502 267.23694849],[223.15478223 229.59984822],[239.24684925 194.21942602],[235.62232947 160.06446093],[236.68427363 234.85808685],[293.93361067 238.62517472],[271.40349968 246.2068425 ],[250.78281249 241.09234637],[230.77089777 262.63663614],[294.41453288 273.80368523],[267.65907545 282.06746785],[249.77899355 275.8659611 ],[225.16955152 292.38782735],[284.53512419 303.84052216],[259.63146519 308.03719799],[242.0487227  301.65667492],[221.73302806 323.48154743],[272.66526214 325.9116203 ],[255.50019267 328.07955307],[239.57196788 323.09699357]
[170.49716495 305.01429348],[190.16896784 259.38735513],[218.31056971 223.4386526 ],[232.53856402 189.12280798],[227.33416925 151.57768185],[231.78518582 230.58926086],[288.75766789 237.63302213],[266.90478468 243.3994429 ],[249.40973335 234.8142415 ],[225.7074023 260.9747079],[287.90769948 270.20270027],[262.09739199 276.29023875],[245.5744187  268.60175136],[219.36997769 290.2967256 ],[278.98531588 297.36639169],[255.70369925 301.78471891],[239.87499026 295.00602539],[216.71065945 320.43437566],[267.77106536 320.19231215],[251.52070041 321.3560168 ],[237.39970087 316.50015445]
[163.35782819 299.62062526],[185.28794854 256.48601643],[215.76155961 222.58850455],[232.98100351 189.73387561],[229.48273897 150.72840746],[227.3271095  223.75807924],[285.76073609 231.81798171],[265.03346356 236.61056207],[247.71241341 226.57611809],[223.58960344 252.67173481],[284.40662552 263.78774501],[260.14237358 271.59491474],[244.7789496  264.51789888],[218.62019658 280.65402694],[276.82433524 290.86777753],[254.40132732 296.0568456 ],[240.60222821 288.76642782],[215.13436075 311.09004236],[265.9301454  314.98936521],[250.42348493 318.46733455],[236.78441594 313.03989959]
[187.25012114 283.117167  ],[204.65608775 238.83592932],[222.9308891  203.98079836],[234.31916953 174.720464  ],[230.44184609 146.44586026],[236.85061121 212.31413215],[291.88342176 220.51442439],[272.26297777 228.47030572],[249.96375929 224.12721025],[232.41666343 241.4787296 ],[291.46577079 250.46841849],[268.37304277 257.1140414 ],[248.90919508 252.43451744],[227.65741644 270.46586327],[281.18820856 279.63856429],[261.80844973 284.55946873],[243.22814954 282.10314615],[223.7317754  295.48348413],[263.46218356 298.61448215],[253.47127879 299.02560433],[243.64813483 296.94877243]
[189.41567112 274.71816702],[203.85995696 233.86870879],[230.75305593 198.515367  ],[248.94546885 168.33084619],[244.33161366 134.25916276],[247.77461619 205.91337249],[306.8196456  211.06887581],[279.41988236 215.48363199],[254.32194652 207.55625056],[243.34360299 234.77655934],[300.75676416 242.09380508],[273.63539002 243.54548386],[255.80647026 235.8996145 ],[238.13153568 263.2371599 ],[290.222771  272.9916489],[266.0812657  274.99258988],[251.18279122 270.72834864],[233.49903931 289.04521772],[274.0439563  292.21003483],[258.86028154 291.49566583],[249.66549743 287.74319869]
[211.57753858 258.75535279],[221.97250871 215.12571635],[236.73185963 174.97569201],[252.6536939  148.74338409],[254.79603262 120.59241362],[262.0966923  189.75614207],[310.32328729 202.84741674],[289.26566897 211.22542422],[270.39477526 208.56540538],[259.2673746  220.06033181],[310.46142707 233.60044869],[287.39986927 235.84975176],[267.76573192 234.16811173],[257.03506716 252.46759891],[304.48803542 265.80011367],[284.24935674 264.21885193],[263.64211762 262.04484629],[256.5260445  277.54719461],[287.9413491  288.65603184],[276.8703215 288.6166637],[265.91895057 289.70337187]
[208.24628817 251.01705827],[227.11803886 213.14779106],[253.62984522 178.45946696],[273.8860469  149.74925846],[276.78286556 122.59602446],[269.2023229  185.75086617],[330.37163746 197.19063529],[306.95403881 203.58440527],[282.6606923 195.8667789],[265.56800732 211.52258838],[329.8148185  230.50478618],[305.23018054 233.56460968],[283.48626709 223.27387595],[261.63356987 240.82469897],[323.57835448 260.59776723],[302.33063789 263.90374855],[283.37073431 257.14918631],[258.44922666 267.98253714],[305.51230469 281.72408594],[290.68045495 284.65287529],[278.12092943 280.14735242]
[228.1697718  240.38925267],[247.49700755 204.18071454],[272.58454186 170.95178602],[289.59039462 144.90749735],[292.31017142 114.15098596],[295.05646898 172.56811512],[350.00652097 190.57426696],[337.57507331 198.54537224],[321.26516254 193.50012211],[289.88267621 197.07280284],[347.17024916 221.11481428],[333.48659839 227.55612453],[316.27856995 224.84816879],[286.28877003 226.44191923],[342.56211446 248.29990915],[330.68537949 251.9313171 ],[314.66682211 248.2893383 ],[285.43526481 254.49468261],[331.08480886 267.83905945],[322.99604317 272.27433638],[311.15733671 273.23094991]
[240.55515861 234.02642564],[263.83135618 194.60000403],[289.1712784  160.72368293],[305.00150652 139.01324237],[303.9396212  108.30171834],[319.62743833 157.55743728],[372.10222101 175.07191476],[366.615538   187.64436868],[356.15757212 189.03669066],[315.21095536 180.83607211],[364.94610057 208.52857709],[354.51750292 219.58052946],[341.19969694 220.78183531],[310.59029999 210.1755282 ],[359.14456338 235.87816368],[348.12276097 242.90753078],[332.07281159 241.81390411],[308.45188281 238.1185274 ],[346.19004835 257.44108793],[337.82687691 265.26490622],[326.70289236 268.63295225]
[253.59962525 222.93720066],[273.57409877 184.43973109],[299.71799159 147.22357556],[318.93303413 121.98880835],[326.29114166  90.47440127],[333.46780549 148.00562559],[392.38122496 161.4221808 ],[390.4971292 175.4954461],[380.77072654 178.16221103],[333.27740074 170.85129345],[386.80089185 195.84861329],[376.95877417 210.58399859],[364.47306256 212.84485966],[331.56136752 198.82771411],[382.60285104 223.87488233],[369.80210971 232.85922186],[353.53742457 230.73860644],[330.48688457 226.83932509],[369.36604281 244.2872462 ],[360.22468278 251.79682474],[350.52170364 253.42959506]
[277.61441207 206.54503299],[303.56366459 161.37405576],[316.29541996 125.64142756],[326.12832587 102.02546957],[340.17081941  72.97986672],[349.11375079 138.83845528],[408.23968946 149.78416565],[410.69519158 160.78654827],[406.05155393 162.95376309],[344.77919084 157.7759618 ],[400.36551507 183.10021814],[391.99416341 190.12984106],[378.2373639  190.37555524],[338.71582875 185.63736367],[390.92232089 205.96797964],[386.22753277 213.47031375],[371.11686194 214.83999006],[335.16681937 213.85707494],[374.58952182 232.74996641],[370.21343826 239.59036807],[361.76708933 242.47050285]
[281.61476647 191.63491325],[310.81071019 146.53122208],[325.23266598 116.96567101],[337.76710354 100.23926104],[353.19820635  72.01109189],[342.94285533 128.49224776],[384.31260135 121.80785821],[399.91422603 115.42022319],[408.85685502 104.80779149],[341.63560524 141.27119808],[389.09998755 162.29001597],[395.17317635 174.1769981 ],[389.34929754 182.17105627],[340.92125769 166.40608648],[385.80235412 187.72253361],[387.77736002 195.00867846],[375.04433997 197.31064716],[343.44005049 189.71908027],[371.29231839 208.58884353],[370.47277523 213.61180549],[361.30723628 215.20645783]
