[246.46216161 378.38837195],[282.88343639 375.98965776],[294.1644798  356.33362228],[284.11265174 332.71018808],[265.61581904 313.5296402 ],[301.41553403 309.91119127],[311.46674603 275.1756628 ],[318.85139466 251.21425809],[325.06966074 233.51516116],[278.97231823 308.15897135],[277.32627338 302.75588066],[273.11717105 330.72846581],[274.51312469 340.79917468],[253.95006267 312.50698432],[253.04608115 311.37161669],[250.41861459 335.44773505],[252.12600591 344.15979917],[229.87218401 317.07924216],[231.00890682 314.75957441],[231.82782887 330.31001427],[234.28706132 338.55408001]
[241.96985157 335.08145319],[274.97658377 337.13588494],[283.11537177 318.7552807 ],[272.63922413 294.52931098],[253.37754029 275.07557193],[293.65158196 272.82346664],[305.55088399 239.82463339],[313.18016288 216.14121405],[318.27804678 194.33866848],[270.48755868 268.23840805],[269.85832763 263.29664856],[268.52711614 286.31152904],[269.96180524 291.91825898],[244.86862751 271.60702207],[245.92852087 270.38047921],[247.23048173 291.6485336 ],[249.31728389 299.14046206],[220.52716451 276.81628643],[222.40452271 273.66481559],[224.93970893 289.07705966],[226.82936374 296.38575949]
[252.44534315 328.070089  ],[289.08013455 327.40118259],[297.94943787 307.57524475],[288.54186487 282.06397884],[276.76520706 261.78752321],[308.30861972 266.70847815],[319.68702128 235.43779922],[330.05919071 210.82901326],[337.37715246 190.98559546],[286.10403046 264.5918688 ],[286.83508428 255.9984297 ],[285.95553873 276.32165582],[285.85402941 284.52509823],[263.02741525 267.96199248],[262.6802476 263.8173147],[262.02749562 282.49676567],[261.48958758 290.49139574],[240.45508705 271.66784498],[241.05103288 267.12326279],[240.94777759 281.36673877],[241.14340687 288.741693  ]
[268.67234807 325.00866658],[304.7218712  323.89011013],[317.73899537 301.15546294],[310.70695739 275.4341629 ],[296.33432128 257.85332688],[324.59594635 259.38403128],[334.83367589 226.79800077],[344.29580169 201.79832281],[350.78269376 181.6687631 ],[302.94745767 257.19834691],[303.25090954 248.12556595],[301.44755554 270.63119221],[300.82802466 279.57403034],[280.15916187 259.43111624],[280.1036312  255.19168355],[280.38650845 277.69565936],[280.60767537 287.04280932],[258.16601483 261.1623914 ],[259.13372025 258.69203829],[260.56466874 275.98666404],[260.56946651 284.99778595]
[279.13730263 326.42117134],[314.76743966 317.72052858],[331.56285969 291.48421494],[323.73259432 264.30941773],[309.29521325 250.22103843],[335.49836563 255.29541985],[345.60023176 223.7754706 ],[355.20158578 199.10609767],[363.75939593 177.23589311],[312.98425026 253.92726913],[315.42154988 239.37698237],[313.84556834 264.91915404],[311.47482668 277.05921994],[288.85010121 256.06067369],[291.86180218 246.33733896],[293.31776927 271.27129141],[293.34254978 283.98340985],[265.50157684 258.8250292 ],[268.99805974 249.45261159],[271.1832341  267.48702051],[272.73730955 280.63475015]
[299.24147381 320.82277028],[336.42009569 318.49763543],[355.77763613 290.99762624],[350.69392062 264.69975721],[337.26222898 249.15509065],[355.9306295  250.35498356],[366.3824476  217.53421557],[377.77858834 195.36475489],[386.13444268 174.57293376],[334.20264147 247.62476411],[341.70113458 235.00835858],[340.15733623 261.41336374],[336.19615608 270.71468006],[310.70562277 248.25730675],[319.20395467 240.92206181],[318.25255075 267.17613353],[315.23699584 276.23277268],[288.40846622 249.367877  ],[297.97317516 244.48693026],[297.51845414 262.56280712],[295.24915763 271.0975006 ]
[320.71333982 305.57057859],[359.24952218 309.87176637],[377.71564693 294.54744684],[370.08325271 277.29355282],[360.46243281 268.29039226],[385.13326696 244.03825607],[394.48427541 212.00362699],[405.0346138  192.95518774],[416.23992697 175.90088854],[361.49786692 240.34712914],[367.51954239 235.448677  ],[363.58496232 266.70202053],[364.04487539 279.0501274 ],[335.44033413 240.4580961 ],[341.44779789 245.59406498],[339.00227678 273.99954208],[339.25332188 282.7246775 ],[312.07583241 241.02126059],[321.95057369 247.2555186 ],[321.17758711 267.18580265],[321.20588397 275.13372056]
[331.05222001 301.40835035],[371.65818266 309.08610964],[390.94651072 292.87739601],[385.84287661 267.7391133 ],[371.57187506 252.29527287],[398.70119218 242.88846192],[409.84357129 211.41229947],[421.71719882 192.9848437 ],[431.1316361  176.92033627],[374.90564689 238.47170107],[383.96839359 236.36353688],[380.21828029 266.5355146 ],[377.10032724 275.85005173],[348.26981509 238.47169374],[357.2622828  247.46962819],[353.58994941 275.47876708],[349.78163693 280.70141813],[324.52488606 237.86390249],[335.40828329 247.92433302],[334.24374152 266.92793627],[332.14397426 271.67801008]
[342.00961943 291.06758464],[378.20161869 304.0414667 ],[396.93488724 287.78243582],[388.86195173 267.04759843],[374.62107554 255.82975991],[408.23034021 241.53592163],[418.52277792 212.75900499],[431.29064881 193.4882958 ],[443.57901312 174.57132266],[383.48854514 236.27566851],[392.17534803 236.48918996],[387.86782701 261.51602222],[387.57010506 268.9403709 ],[356.90694846 234.3595858 ],[363.23546007 245.16588924],[358.6177642  272.38491362],[356.56171354 279.3633584 ],[332.81401707 234.80749497],[341.64938579 244.00330001],[339.46566624 262.22299867],[338.8689055  268.99188625]
[334.28571803 298.30058431],[373.91701397 309.62210258],[397.71119385 292.68205772],[394.02418049 266.29329819],[378.387945   249.67861537],[407.54098007 241.28923856],[423.65922753 210.79492594],[437.99626723 193.36671069],[450.36161069 176.68002467],[382.10979488 235.93050282],[393.78918279 234.90753102],[385.0774061  263.82420941],[381.78449505 269.20094123],[353.7071139  233.96198082],[363.74671214 242.60656864],[355.95415579 272.03746759],[351.93426833 275.64516633],[328.31258824 232.89701677],[341.4662011  241.25041028],[336.29658828 261.24787835],[332.54857737 265.43590978]
[321.70130748 303.99379676],[365.06340325 314.39587281],[385.97636326 297.38793885],[382.73685319 272.61108285],[372.64648998 255.30740736],[398.80249751 242.20862564],[412.47869997 208.74734427],[428.36004437 188.6211963 ],[442.78575206 170.52252755],[371.77723776 236.17857178],[382.897091   236.56815247],[375.84982873 267.87639757],[373.39453801 275.05791141],[342.39876732 234.50683244],[351.15679512 245.90326236],[345.12563718 276.08410134],[342.41606347 279.65499388],[315.45959896 233.34295077],[326.27597293 245.18193698],[322.77758612 266.02629343],[320.71855853 270.37477244]
[305.50089487 320.77667299],[345.42274898 325.34924169],[371.15860221 307.00401665],[367.95824376 283.81818016],[350.58949617 272.23628507],[380.12148374 245.18370245],[390.06945038 207.70451716],[401.20255884 183.75449405],[412.61241712 160.12474665],[353.89284236 241.91550223],[357.18968031 232.45223037],[352.18810234 271.56917671],[354.06527344 284.61740104],[323.79432409 243.07772593],[330.47664654 241.81502745],[330.39508608 277.76848862],[331.25048486 287.89054014],[296.70567307 245.64118325],[308.45032197 247.90082557],[309.78864088 271.24448728],[310.2181152 280.2452724]
[296.50515697 332.36364825],[340.54556433 334.23264493],[363.81964485 313.7039593 ],[354.43024172 289.69318421],[333.83080128 277.69058586],[366.28327952 248.87431402],[373.02600518 209.31726969],[382.7387339  182.96824729],[391.95746373 158.65924781],[338.43729425 247.4546407 ],[346.10666689 237.21230801],[345.49774866 276.37105021],[348.12661114 288.33323433],[306.28106216 250.76696483],[316.5078106  251.94448384],[319.21460474 286.2369995 ],[319.87615616 293.38790727],[277.37264148 256.16514981],[292.67562331 259.8041347 ],[295.53512949 283.33222694],[296.01339963 291.85677526]
[279.29490668 353.15266706],[326.39367599 350.21846411],[349.73553022 320.05658676],[335.48819436 290.78728402],[307.56266267 281.71188944],[348.4407981  255.48447469],[350.74980011 210.54926434],[359.01258236 180.8187265 ],[365.93279431 150.21873787],[320.39838846 254.47427766],[325.06662422 237.67204186],[328.70159585 278.83157845],[331.60963453 293.86239359],[287.0819585  260.07544186],[293.43315273 248.23188861],[301.48185673 285.9168835 ],[302.84933853 297.67577388],[256.11986352 269.70569704],[269.90268101 260.96576624],[277.75648263 286.22676975],[279.18418445 297.96699939]
[270.2940918  363.64067698],[316.78009355 358.12127228],[342.6764116  325.56590659],[327.92627605 292.42373751],[297.41205558 280.02815687],[338.50679042 259.44847102],[340.22774967 211.97850838],[347.1951446  181.95055419],[352.57846834 151.32725449],[310.52710251 259.11690123],[311.94196887 240.54300306],[315.44620657 284.70021156],[318.86960133 298.7659712 ],[276.41716495 265.02214886],[278.45517038 254.48862566],[288.88488379 293.28953267],[292.76386468 303.19665849],[244.20601246 274.8019787 ],[255.83620073 268.46535488],[266.43811409 295.24431909],[269.78856858 306.29757624]
[259.87912837 371.53310485],[310.15097695 367.86226531],[333.94759797 335.8072296 ],[316.6295082  303.17475958],[282.89128364 289.21977841],[330.6816266 265.3575343],[327.19075629 216.55808895],[334.22593364 185.0394156 ],[340.64328266 154.28368491],[300.00203237 265.19846256],[302.38026665 248.98319251],[305.68036442 295.4951499 ],[308.49586287 309.25528675],[263.44854496 272.97434088],[269.07727829 265.34547901],[278.81218839 306.81844296],[282.86286494 316.73442122],[229.58496727 284.58383139],[243.77555448 278.87954145],[253.70357734 308.11440111],[256.24486633 318.42718725]
[247.83610215 404.21049778],[296.93797026 390.78311208],[329.49292652 345.66754296],[323.9574892  304.08731318],[293.12338675 281.87160296],[323.78726972 274.3319957 ],[322.68985698 222.90416702],[329.683053   189.18905757],[336.16721541 151.24246696],[296.84017394 272.34629364],[294.62188607 251.81498652],[297.99913251 298.72216027],[300.55839054 316.21028838],[264.12706192 278.55250931],[258.7014289  264.97116737],[267.78001606 308.90682529],[269.68340448 324.9440344 ],[230.5331303  293.72599701],[236.99413238 277.54279786],[247.95342265 309.09708525],[248.97017295 328.60848958]
[237.27300694 400.68257579],[285.57100634 386.5408334 ],[318.76634624 340.85073541],[313.04503106 303.02790297],[286.89561774 279.56575067],[319.48289932 272.53041025],[319.16637232 223.92595665],[327.38066839 186.91366469],[336.88055918 143.48558712],[295.2256965  268.33605585],[292.688824   248.45031585],[295.89722523 291.60107896],[296.63622497 311.25683138],[262.29377701 273.09240462],[255.236999   261.80343332],[262.92326739 303.35827496],[263.36781295 322.46340451],[228.61584943 290.00900079],[235.84086931 271.83964031],[245.98217286 303.1799709 ],[247.67402279 328.56366126]
[239.13592817 402.40877605],[289.82036221 391.24721031],[320.60787716 346.25187789],[304.25510495 301.63292608],[262.74877239 284.10254415],[313.74589247 269.63722969],[312.69144297 210.7361978 ],[318.10588041 175.6480042 ],[321.07789154 137.74348645],[284.28281478 267.31682393],[284.31619517 243.73024144],[283.13985099 294.96447504],[288.18079475 309.67750548],[249.90312001 274.44101418],[246.92063267 261.79359448],[255.59293481 309.75682829],[262.54946471 320.85156217],[215.09768828 288.44655257],[221.26915581 274.13434474],[235.37311878 308.83398796],[242.31425997 325.50637634]
[235.27548608 412.41247361],[287.77232246 398.9439666 ],[316.44859045 346.26483512],[298.40195283 295.64251167],[258.462292   274.64544084],[312.11888779 270.4732107 ],[307.73424328 208.56796495],[310.34295473 169.45611528],[311.69203942 127.7339029 ],[283.27204341 272.29970199],[279.56619107 242.81919859],[278.07882814 295.50958655],[283.40131239 316.77444292],[248.75139829 280.92125153],[242.51776736 258.15001569],[249.54680926 306.09004739],[255.01887949 324.26995997],[211.0290097  295.87007502],[217.24902493 274.88015995],[228.70639747 309.14278237],[233.55957487 329.22678338]
[232.63642097 416.11842314],[291.58916447 393.7793947 ],[316.10977416 345.19030076],[289.60278744 296.8348953 ],[241.81731055 278.0991524 ],[301.46935749 266.23975975],[297.005961   203.39866084],[299.73259856 163.95627419],[301.34642558 125.70791911],[266.98307347 266.34988121],[265.06441012 246.58591478],[268.42490343 304.84603693],[274.9343529  320.40084744],[228.93352655 276.18298853],[227.18349459 263.61705993],[236.11663093 313.50576451],[240.89051937 324.8767322 ],[191.61825493 290.99785611],[199.48661137 275.35629625],[210.85511133 310.0056298 ],[216.39322321 324.0201873 ]
[222.20848917 401.68369134],[279.27229852 384.93176461],[302.19085454 337.06210724],[282.27002488 300.49006416],[241.55636256 283.61838992],[285.63230696 256.55115007],[284.35581239 194.02288329],[288.6224763  153.86209947],[289.85087456 120.72968703],[249.869918  257.7441089],[255.71847365 244.61624155],[260.06432818 293.3699675 ],[257.61035479 307.37464043],[211.66265851 269.86815092],[217.36658043 268.77939749],[228.2873504  314.36252117],[228.80852779 327.98186312],[173.88378698 284.13043031],[183.47021081 283.6934106 ],[194.37457294 315.24008835],[196.92264566 328.7271345 ]
[222.11663723 410.47325987],[279.9572543  392.48077964],[299.8566434  342.18925028],[278.67988855 300.0733821 ],[237.64673737 283.35428109],[281.12306306 252.65946981],[280.7989101  186.88809119],[281.71837492 145.18346011],[281.56391197 108.90197501],[249.04767048 257.04984286],[246.71935859 233.44100763],[250.21564904 286.39830365],[253.14373891 305.61962461],[211.60593576 270.22246228],[212.03552853 254.63211487],[224.4399516  303.58648412],[229.10340664 320.67968387],[175.07050241 286.60145899],[180.37285105 275.57405292],[193.11108399 308.7678905 ],[198.20846509 326.04151048]
[228.69039668 404.17637653],[284.01473764 379.33271647],[303.35911904 325.4796878 ],[275.4272176  291.15368082],[228.2676921  281.28485194],[286.63553094 249.39007038],[287.10459618 185.26045644],[291.06351513 143.92498103],[292.16864088 107.24555964],[250.70197418 252.34499619],[254.61557225 238.91206779],[259.79961622 289.38034977],[256.42624597 303.72219472],[213.31852995 267.77540051],[216.5743146  261.23619183],[231.72378635 307.9323284 ],[234.10388469 322.7213122 ],[176.5880951  284.76370473],[185.42434672 281.12789341],[199.90904531 313.06948405],[202.14116933 326.6211603 ]
[229.97998968 404.38070805],[285.34268874 385.1550309 ],[312.66223528 333.0666064 ],[284.40680594 292.57985838],[234.49410478 283.42096713],[290.96887062 244.03232544],[288.04229881 182.23234869],[288.79309456 140.70014746],[289.54854775 101.29875648],[258.50405238 248.19441887],[259.0470025  225.35404206],[262.51488812 280.23385577],[264.18239531 301.78530322],[222.21609865 261.74907222],[225.20931414 243.42182463],[236.46488078 293.76775392],[240.46810518 314.82126728],[187.41174674 278.94732191],[191.95444936 258.86650788],[204.72455533 292.79639971],[210.69226501 314.3309742 ]
[235.81616748 395.24530341],[290.62466973 382.07162878],[311.85156717 332.86193255],[284.48201143 288.76882415],[242.80244364 270.69160459],[296.75669446 244.16300441],[294.35934908 179.62621765],[296.38428114 136.91916366],[295.43123078 102.22146792],[260.54543333 243.89188466],[259.73545444 227.15698797],[261.50950155 279.59714915],[263.3960225  297.66730201],[222.97697278 255.70652159],[225.74767301 245.65455447],[236.51190646 295.54164556],[242.04125897 311.78288936],[187.01583397 271.73040658],[193.9755882  263.42337643],[205.94873058 296.88056607],[212.12141841 310.54935907]
[227.70762783 403.50264728],[279.94700478 385.27354169],[308.60226159 330.15433796],[285.19685506 282.72147797],[237.92294482 266.00832228],[292.73192477 244.85990271],[289.37934723 182.58519933],[291.59452807 139.08247862],[292.79074711  97.90569729],[259.15406167 249.22042019],[257.23406624 221.60900099],[259.5512334  277.44171675],[261.24392379 304.25187103],[224.47186213 261.03089253],[222.79062087 237.95364058],[233.96793763 289.55695642],[239.5475567  313.29454571],[190.46794601 276.08608624],[192.90165854 251.48505086],[204.96736444 287.91023122],[211.25824588 311.5069775 ]
[270.79914402 300.89018956],[309.58603529 269.37444056],[312.4701712  238.32277211],[301.69807237 217.75228339],[285.57398466 192.08099175],[271.2283644  207.18344605],[281.21740497 188.89862642],[288.80219971 161.23071123],[289.9792735  125.12947308],[232.70831302 220.33071185],[248.53743414 227.42265017],[254.00465724 246.98557303],[258.331898   254.79337979],[204.56907604 240.61668311],[225.39571622 274.59485921],[242.91450918 303.00555137],[252.44343985 309.41207668],[187.85366258 266.30280417],[206.20317988 297.68371695],[220.99292245 315.6009726 ],[229.40254984 318.93019357]
[230.66990034 366.65607756],[281.85720707 358.31816938],[304.15433544 310.42590448],[288.3236963  270.57610491],[252.87398544 252.90028241],[295.69225587 223.50341248],[289.55590933 166.92307908],[292.74839043 129.94020627],[293.80447705  91.60722062],[264.27174045 224.62100956],[262.95696134 210.67462223],[261.97513098 261.39968974],[262.00708482 271.07221071],[228.15712387 234.43320008],[224.31510226 228.15549583],[233.49501386 273.85897075],[238.83781635 282.24991851],[194.34289625 248.67263181],[196.41066237 238.45280409],[209.62065185 268.68008145],[218.02490623 277.97130103]
[257.25986604 293.0900178 ],[295.47730041 302.20903657],[311.99618904 295.49593994],[292.64644824 281.47082618],[261.68583619 268.11241041],[311.15469575 229.10327453],[301.28847412 185.30564168],[297.76350009 160.0714955 ],[300.03872864 136.90479732],[278.91899284 217.40780853],[278.57596911 185.74351032],[277.75472765 165.32313544],[278.17386714 144.53303711],[243.16163272 218.62839225],[239.69661441 221.72617188],[247.51608842 251.82819658],[253.24045514 268.39026773],[209.83927471 230.18755541],[210.53136484 239.51154628],[220.3987565  257.93140429],[228.46833198 268.99171051]
[241.06650036 380.70816277],[288.08276693 369.65621411],[316.3904231  325.51749168],[305.24959795 277.71992789],[269.6548923  253.12763089],[312.08983173 241.78841832],[308.11075585 180.92826455],[311.85004944 143.08205842],[313.96341122 106.63315965],[282.21633616 241.86654577],[279.89274893 223.39795489],[277.41343136 273.51569203],[280.88834639 286.40383092],[248.08509266 249.85459645],[246.5771453  235.50934896],[249.24709666 280.41522912],[252.95150716 290.64128347],[215.49257852 262.74863946],[219.24454814 246.07925107],[227.69850873 279.83845486],[233.70834277 293.93435261]
[256.46691315 380.26662272],[302.94452411 365.31451839],[335.5355018  323.48749943],[329.57951198 276.84918503],[299.97480239 255.66136251],[328.83726245 241.17150401],[325.27699702 180.71630596],[328.68392446 143.76273606],[331.68426679 107.72950754],[300.96364602 239.29157728],[299.46635302 216.8351691 ],[300.78050174 266.21047383],[308.10325932 285.36594501],[268.50769756 246.41176708],[269.99434902 231.22278563],[273.47788473 275.36629716],[277.65496711 287.93965424],[236.23915656 261.54923647],[242.28319494 244.24446936],[251.16592583 277.9467558 ],[257.91653826 294.07912985]
[275.63651518 373.90763108],[324.61544045 356.95669557],[355.60485841 308.74848246],[349.1830052  265.94673376],[321.58484285 249.51034987],[353.82524133 246.53569138],[352.36587486 182.1784211 ],[360.50826252 142.93735878],[366.08950538 101.55482424],[327.39150835 243.97754506],[339.36922987 211.33442914],[340.5022669  257.22210889],[340.11289176 272.72777692],[297.80053056 249.89631767],[301.83739087 227.99860465],[307.59378131 275.16523246],[307.44291298 292.57185979],[267.11606    263.24510348],[279.17957035 238.2949768 ],[285.52953229 272.29289073],[283.49506413 292.83018521]
[302.81154962 378.55598809],[363.22300553 362.71470386],[397.39171472 311.31206438],[399.3341613 267.9962447],[378.50117038 256.98008971],[386.92376028 239.3809999 ],[390.95852674 181.25594118],[398.62305185 138.84160493],[404.18846044  95.08097201],[358.94235051 235.95221027],[376.01876754 194.79392523],[383.504941   218.18048551],[379.93596326 228.12384906],[329.17747173 245.05750997],[339.90237735 214.92123383],[352.25556594 264.08161661],[346.9624629  293.10662881],[298.45291156 263.49836643],[318.4099151  237.34717279],[328.12693468 266.24522099],[322.69371586 289.23823606]
[327.52104034 378.85287699],[367.55560671 360.15555074],[389.54730446 303.39753242],[403.51497046 272.80542919],[400.2786281  271.01974557],[407.62478648 248.24813099],[420.17277877 200.5414913 ],[429.50298817 171.98004157],[440.04430988 140.83071457],[396.44389838 242.91368788],[420.00397821 185.49949794],[436.16715592 163.39070909],[441.44261859 139.60617268],[379.07039915 250.88497951],[393.36133721 217.90522402],[393.41928504 263.5345917 ],[380.57138613 290.01728416],[359.49833286 267.51529408],[374.4763041  237.97168667],[372.25136114 260.86796131],[359.73146493 280.91810092]
[381.46264686 306.51150595],[432.61172724 318.77064931],[457.34892065 299.39267665],[459.87298491 285.35630018],[450.23744462 274.0394065 ],[459.59372732 228.27911694],[468.26497431 190.13354311],[479.78031137 176.75010796],[490.53392726 159.7429663 ],[435.45460017 225.8116102 ],[446.84646602 205.85878072],[444.77932261 217.3255668 ],[442.6025713  211.07790843],[404.63796164 232.2331533 ],[416.21505482 238.25063648],[421.41913941 273.19866893],[421.30299571 283.39167751],[376.61694228 243.3326674 ],[389.86284512 243.86784309],[393.51655586 257.44714921],[389.66542081 264.51171092]
[410.78150375 345.61408694],[456.48719154 339.28625574],[498.9417319  290.10747241],[517.10814608 258.88774443],[519.02262566 244.93223363],[488.91590236 224.38729344],[492.43496959 169.80481631],[504.64482789 135.20665772],[515.22432455 103.08693562],[461.0313923  227.53074129],[475.8108796  209.75446629],[476.46569352 251.4783118 ],[471.28622185 267.45325465],[431.80303738 236.93774647],[442.94110209 231.13495469],[448.89382696 272.31874487],[443.42510705 285.0470281 ],[399.23396177 247.32169039],[413.33627967 242.06713164],[420.50555374 268.06824495],[415.8084857  281.00458673]
[447.38330639 324.54637096],[491.85951705 322.7061413 ],[530.97662324 281.04179474],[545.68238777 252.0747941 ],[535.61861825 238.04867525],[514.81869304 219.04543301],[527.17444654 173.4255069 ],[538.34692944 142.40302726],[546.84570004 114.6792977 ],[488.09220389 221.07920418],[509.26190948 210.40496698],[510.02889177 249.97259821],[505.56950896 263.71581583],[461.84095622 227.58482292],[481.51232202 226.39665331],[483.2076389  267.79476873],[476.97094923 278.68703382],[434.11088665 234.39155994],[456.46611185 232.23982064],[462.2924185  259.61160938],[458.86494537 271.53415423]
[470.30065343 336.50371913],[518.89898675 327.75657996],[558.89810532 284.05501257],[577.79340547 251.21433633],[563.24456177 239.96334951],[542.14755036 226.5636892 ],[554.71248309 165.08716794],[560.62031479 133.19564542],[565.0923466  105.29500088],[514.67309252 225.59874787],[540.47758943 208.45672699],[541.39233228 253.49121724],[535.13219461 265.93477993],[488.30552179 232.28239762],[509.6384311  223.07304636],[508.55981554 267.43458551],[497.9331508  277.70373969],[457.92463635 241.31371949],[481.04085945 233.50303014],[488.08275766 264.66539662],[481.45110182 277.50883182]
