[220.80988275 411.44018879],[254.58638012 408.68501057],[267.78552521 374.4485495 ],[247.00968324 345.96475169],[220.8547773  319.54881042],[276.60977703 310.34694104],[294.40368798 269.53752178],[307.34001912 242.2773787 ],[319.55957939 219.79450671],[244.90172169 307.20110824],[237.82636721 250.81257823],[237.43522325 209.69789924],[238.86196098 173.13125562],[216.20764004 318.10563683],[211.36544007 298.6967972 ],[219.58550637 338.32766541],[224.39781427 358.03150275],[189.63779681 330.89813922],[190.05459848 323.94000747],[199.73530983 352.4931592 ],[208.56991923 371.86641941]
[249.47315007 385.9597649 ],[287.31565105 385.31829255],[302.17397915 353.11572761],[275.99918995 324.59430773],[244.73491806 301.8161279 ],[312.32571714 301.30645962],[332.63729088 262.56508496],[348.19455414 237.42836083],[361.12502743 212.31824098],[281.67141423 293.72790974],[280.77114463 246.18294552],[280.55639603 213.68755069],[280.41954274 181.84261921],[252.32272966 295.50877746],[247.52104205 291.0727891 ],[258.06646945 325.4194836 ],[267.07237448 338.22375416],[227.18192285 304.19300155],[224.71861569 302.84157341],[235.33648436 329.02411497],[245.94779684 346.09391559]
[272.69296519 384.85138991],[312.88378469 378.41843658],[326.49442505 341.38853665],[306.50671642 315.0493793 ],[284.21627974 299.28666288],[328.57790499 292.72928456],[350.35740014 255.89282849],[366.61533817 230.33496356],[380.05687697 206.18001062],[299.43529999 285.65037958],[298.04272393 234.56438023],[299.57537533 199.99425838],[299.56469983 168.06023816],[272.1067808  290.73538172],[270.85247367 276.51141523],[282.83232077 309.41798074],[289.69455858 327.5083575 ],[247.25321014 300.62763473],[250.30659105 291.17169809],[260.86447191 314.09210585],[269.01988329 331.81729249]
[283.65142819 390.82580846],[324.38206846 375.06576461],[339.89977191 335.56972223],[321.57550336 303.73078719],[304.01805185 284.17901505],[350.92579476 281.94058986],[373.53867205 250.41303629],[389.61929734 222.56132952],[404.18803868 196.47632914],[319.78521611 273.33629267],[320.08195768 223.15170122],[321.72483503 187.41678474],[322.35648626 155.61124741],[292.70990186 280.76501573],[288.57878085 261.59533919],[299.31170985 294.90325649],[305.60747569 315.28320816],[267.92042449 293.3828395 ],[272.63142374 282.91023675],[282.09446796 307.56469659],[289.05151672 328.39933952]
[284.4179605  383.38779859],[328.470215   376.22664358],[343.84329152 336.52272681],[326.31800743 303.94540308],[301.56546434 279.61677187],[357.59946438 277.65254859],[385.91781211 238.08651052],[409.41894982 205.69190379],[428.82773406 179.07468454],[327.52496508 265.59147257],[335.07849446 206.28583983],[342.61509809 166.06115852],[350.06236656 135.92570147],[297.15813077 268.46915262],[296.93235341 253.57873491],[304.02796597 286.04916173],[309.57071411 305.33147945],[271.51643757 275.25066304],[276.8053457  272.36008185],[284.53467942 298.76508309],[290.22137177 318.0984895 ]
[299.80460714 376.95625953],[348.80683303 366.944502  ],[363.65119805 334.90887561],[345.42931289 303.62796711],[324.54080957 277.97267935],[373.6366896  267.60370052],[400.62420678 230.0555973 ],[424.241738  198.2990609],[443.50469441 174.82363038],[344.3766372  256.27618434],[351.31780967 200.73651551],[361.76308256 160.81994402],[372.06961319 130.58856366],[315.81720868 262.21150665],[311.60739542 254.377948  ],[318.76092126 290.78133869],[326.92241003 308.56605237],[290.62727004 271.21219034],[293.92142073 275.19364938],[302.5158143  305.39421891],[309.78854884 325.79316305]
[320.31164969 380.58786331],[375.59869309 375.11931247],[390.88405212 337.00832431],[372.7401668  301.96545599],[344.66218067 275.7108531 ],[399.4000106  273.03974938],[424.56502515 233.83970712],[444.64756966 204.67895321],[462.53662051 180.44162141],[365.98078788 262.26244523],[375.41545581 207.77440112],[384.21288927 172.63508022],[392.83108081 140.67631615],[335.09083544 267.5184368 ],[333.57632048 252.63597344],[342.35283639 285.97021438],[348.7986423  303.58692969],[307.81969737 275.59760755],[315.81357385 273.47092526],[326.3282657  304.26248671],[331.35616838 329.26940051]
[339.40301388 388.66725838],[394.11613686 381.33381416],[409.94631431 340.29596501],[395.96619862 304.73912331],[375.57733374 279.46652666],[416.66797979 280.95191368],[442.77485453 240.67832281],[462.31111049 211.37454631],[479.87959222 185.01320194],[385.08442887 271.19643683],[395.07116496 217.06816357],[404.98625164 180.92434513],[415.26485013 146.38953441],[354.75557893 277.58157113],[357.42436594 260.2369866 ],[369.55810269 294.88084384],[377.13700436 313.67498849],[328.46302413 286.15047109],[341.30144546 280.23655105],[352.88997983 306.4596566 ],[358.91061975 328.09297415]
[359.46081897 383.51707923],[419.48960376 381.17324481],[438.82545964 346.28518715],[426.85129932 317.53024376],[405.64510051 296.37618883],[439.73465292 282.19565802],[466.71900435 239.33037717],[485.82712914 211.46081468],[501.49850771 187.18212692],[406.70286993 270.87571937],[416.32420473 214.72820199],[426.65937523 180.09810335],[435.78695527 148.57694952],[377.29237197 276.68385266],[380.32738248 264.95416826],[393.07529776 299.70396298],[400.84598938 316.05359111],[350.91410471 286.73067828],[361.54445566 287.59741842],[374.54203084 314.77118647],[381.70981287 332.42110134]
[380.94793182 396.79334182],[433.82786599 395.06545874],[462.40782142 351.16088608],[458.61259456 315.2228043 ],[443.64396568 288.80233152],[464.14469237 290.62190568],[497.02691318 244.73422669],[514.27850226 215.7705915 ],[528.06570185 191.12970733],[433.65340184 282.99836434],[446.00762019 223.40544831],[453.27270651 185.94462906],[461.26400694 151.74812255],[403.36336036 288.76234275],[407.4325704  259.07619436],[417.5866916  293.86937801],[421.41314085 315.88737439],[376.57171156 298.03725699],[388.80057824 285.29583159],[402.73902517 317.80875433],[410.13589753 343.29504441]
[400.36872628 398.40633337],[454.84050798 400.12671982],[487.41434551 357.9708353 ],[476.92191495 319.41303365],[453.03743999 284.60189363],[489.86047852 289.25601095],[520.35015894 238.42129182],[544.47186765 211.99640055],[565.91353583 189.82574103],[455.03464064 282.76948634],[466.53261191 220.02925027],[477.8239876  179.24833528],[484.29233506 145.38373208],[421.08527016 286.04206508],[424.72158842 268.04843099],[433.55242006 301.34047235],[434.67590385 318.3384266 ],[393.28181837 291.92746977],[402.71323589 287.28115552],[414.30259124 321.64678707],[416.21971083 346.36551662]
[420.94790115 394.62233278],[473.53095461 397.20543348],[498.66429115 359.38447209],[484.01831833 326.48337577],[465.13934164 293.4760864 ],[508.56700798 291.1983768 ],[530.31164092 242.31239817],[552.33205198 212.16208942],[571.66768743 188.67788188],[477.82720516 280.67467037],[483.30327066 222.51434884],[492.68702852 180.22851123],[499.42246245 147.95444895],[445.50613179 284.04504882],[453.41925317 272.7119332 ],[458.77825564 306.10263638],[458.98205783 327.88828508],[420.34432108 288.81418623],[431.62504199 289.85657595],[440.68558434 322.60426069],[440.47761141 350.93345451]
[447.13657241 405.04535596],[490.27943333 392.53335851],[522.47347651 348.36761665],[513.93760974 315.40149178],[502.38535848 292.26486012],[520.89932221 291.46084304],[545.29386048 248.55776471],[562.1284312  220.27384873],[577.12307896 200.10595033],[490.94259191 282.89696948],[495.0812493  227.01649588],[498.76207008 186.35743288],[502.2846671 156.3039941],[462.94509082 290.93817683],[470.36726029 263.41379521],[481.65033185 301.81465057],[485.64197196 332.98410597],[437.61913228 304.75753292],[450.2703032  290.56712136],[462.58580139 316.23270756],[470.05754484 343.53574269]
[461.63803499 385.14498338],[509.3872142  380.39603763],[536.21025379 340.72899846],[527.35108372 313.31986626],[512.60424286 296.78036663],[533.37299252 287.79687121],[555.20672616 242.1725244 ],[571.93268384 213.29304919],[584.83344426 189.55378884],[502.78942214 281.86973935],[507.44296859 226.63718656],[510.95177246 187.66976984],[513.41270263 153.05422668],[473.57455192 290.21781323],[483.51011673 270.229186  ],[498.78709099 306.19987786],[505.53695499 331.31119863],[450.13949071 301.65034571],[467.64253397 290.38307227],[485.01848875 318.47827756],[495.06633291 347.20487877]
[472.34247371 380.35413496],[517.41538134 375.01940843],[545.69100486 338.68453152],[540.05034595 309.34336384],[525.19143283 291.54935673],[541.82237791 285.93621804],[564.15980925 242.20159597],[581.20441002 214.95269738],[594.28033404 194.932824  ],[513.34637759 277.53266411],[520.15646398 224.67322356],[522.55866596 186.38741988],[523.39331269 156.11553289],[486.0942804  283.15518961],[498.41872038 264.97886182],[510.8527585  299.39063473],[514.88063411 325.38110947],[463.26470758 291.84110366],[481.90955992 284.58289543],[498.46020379 311.12972314],[508.35725948 337.68574433]
[483.96198957 366.79610381],[527.49755104 357.13539523],[551.07622573 319.47367292],[544.7079017  290.95046157],[531.86438776 271.84669049],[549.1507988  268.99468776],[571.86410873 229.26631698],[589.19525767 202.13219451],[601.45578515 181.37151093],[522.10065165 261.89384157],[530.85129151 212.7900919 ],[532.9471103 174.3800503],[531.32441936 143.00470492],[495.70537246 268.24173764],[509.86386456 248.04777052],[520.96786815 283.06803139],[520.57690797 311.19404739],[473.61124025 277.39283665],[494.6332492  268.40137561],[509.71112692 294.72501395],[515.45811387 321.33473042]
[496.04864922 324.1925071 ],[534.59512921 320.94214139],[557.8797162  294.29188136],[551.71816522 274.56342195],[532.17852962 256.51301156],[553.70577311 238.80933142],[573.55759962 199.75741129],[588.64373914 176.36181388],[598.53122045 160.48116451],[524.96392984 237.3745506 ],[527.30173756 194.37542455],[526.67969458 162.28575072],[523.21831591 137.27183167],[500.11634338 245.12631845],[514.48630989 239.80000472],[524.96603236 272.27429688],[525.43104982 297.87192292],[480.93493484 256.2155465 ],[501.21643722 254.78100934],[513.42307381 276.27652373],[518.82978086 298.6948479 ]
[484.88529794 339.47869767],[525.60252486 330.35226961],[552.78952637 286.28657512],[549.50378479 255.24263455],[539.8573071  233.21898709],[550.3829153  242.84164351],[569.13879133 196.49345531],[585.93821214 167.76127881],[600.83978101 147.00417775],[522.98831413 236.46526527],[524.48857739 183.50229301],[526.02312608 145.0529545 ],[528.03535158 113.88039002],[496.4097248  240.75867373],[511.37187452 217.96504669],[524.59933465 256.04397526],[527.55839935 289.60421378],[474.46155552 246.97596493],[492.88393539 235.56138164],[510.20321009 261.07391748],[518.97870433 289.1159374 ]
[471.22405968 331.17742804],[508.19298025 318.20876231],[533.29493006 282.43669387],[528.14693374 252.6228225 ],[518.97155388 227.14927746],[533.73670881 226.78214523],[556.78086768 185.3845048 ],[574.80535173 157.80076253],[589.08419113 135.05806204],[507.84266012 220.43122578],[509.62003301 172.04616433],[509.48894838 135.86070506],[508.21961195 102.01738297],[483.73248537 225.45630233],[494.65505414 207.42312624],[502.82801996 245.92660499],[504.68902309 274.32687467],[463.78645181 231.82262651],[478.53122279 220.16510736],[485.44819708 249.43735158],[490.13470102 272.81531158]
[462.95455783 306.15721305],[502.50804448 303.464938  ],[520.59448709 271.93564046],[509.49331185 247.45900065],[496.41805125 229.77068785],[525.47442663 214.32620279],[543.42504933 175.3179388 ],[558.68496725 151.35567993],[572.46837484 131.79873894],[496.40540457 208.97698876],[495.46365024 160.94953309],[496.76156302 128.70806225],[499.49299789  96.91380403],[470.31089454 217.23431799],[476.62059544 204.72998568],[486.22439372 239.57185668],[493.89116961 261.18996431],[448.44333928 226.54811302],[458.51139911 219.15895271],[469.56063513 240.21470376],[478.40058215 259.16967368]
[458.11642083 294.2356925 ],[495.10319852 292.8489209 ],[514.87161075 259.26842914],[504.82846428 232.10675275],[489.93591212 212.99065203],[519.10335811 205.98093173],[535.80886365 168.17586658],[550.23692104 144.62215882],[564.10263608 126.18194192],[489.59441176 198.39618157],[488.07604806 153.35966509],[488.00537454 121.54457004],[489.54324322  89.72998397],[462.44514029 205.40593593],[468.113833   191.04197702],[477.15049023 226.05177234],[482.71727101 248.74851792],[440.32496661 214.81491859],[450.99683882 205.62265135],[461.86080843 226.51904803],[469.41472083 246.66402697]
[443.71552748 295.81474209],[484.79624408 289.32112968],[506.80019996 248.39292606],[494.95793755 214.30321055],[485.2179893  187.33591564],[509.02788193 195.24007295],[528.18196426 153.07362429],[543.42543609 126.60421109],[558.50651856 101.65721741],[479.28492063 189.40948348],[485.39050042 141.1401769 ],[486.9724384  108.84521178],[491.75298021  73.69319558],[449.72875778 196.70094061],[455.83900138 176.14799746],[463.53241052 210.7652782 ],[469.56319645 230.44281943],[424.48044954 208.40319542],[439.98942356 200.11642079],[453.81063282 226.79958796],[461.55739601 250.36764545]
[441.6068193  271.71630816],[486.34816598 269.70243206],[503.82908873 237.07609836],[491.48127552 209.57959157],[476.86968795 189.39929071],[506.37348583 185.95478232],[524.54922965 147.77765807],[537.72918431 126.75576218],[548.39042124 108.67867072],[476.52758218 180.51126592],[473.65886527 134.88636858],[473.51359752 105.17753587],[475.32266513  74.46071014],[448.62935964 187.01667516],[450.83087136 172.96572008],[462.69448079 203.77313862],[473.31505442 220.97599403],[424.45664841 196.36160653],[433.8895547 186.6864612],[447.47328999 207.58878007],[457.99977312 225.45848874]
[437.32952841 263.71511196],[483.06734468 261.047624  ],[500.06504219 226.27087636],[487.52448068 197.90798744],[472.65003512 175.98540823],[502.74982456 179.27599698],[521.98623212 142.14705622],[535.61369676 120.53492333],[546.12101473 102.28013293],[472.76539384 173.3185239 ],[467.42435451 126.23399224],[468.6147967   95.74923361],[471.13594703  65.82523955],[444.99169421 180.94773941],[445.82399164 161.22035837],[455.83480794 188.75030379],[464.16799957 204.84103418],[421.76542163 191.05874975],[431.30321616 178.27044941],[442.33749078 197.36433751],[449.48143838 214.66453154]
[432.06700973 257.42206629],[471.96210937 256.87400374],[486.27893968 222.27780866],[473.11495583 193.13711264],[458.53266358 173.71008238],[490.45242095 179.15441216],[509.03030652 140.72003805],[522.92007185 118.24025483],[533.25654466 100.69727048],[461.80032248 172.67648182],[458.8245382  125.70234632],[459.19163722  95.43037525],[458.62197743  64.84136869],[434.3069173  178.00771655],[439.71359961 160.94145478],[449.18363401 191.10131735],[453.9607199  207.22582206],[411.22496176 185.61623333],[421.42440894 177.63732987],[431.41344903 197.80228122],[437.24942248 215.10521191]
[410.66619622 253.68359545],[452.14396432 247.293631  ],[466.83183396 211.11088394],[454.61191702 180.19225634],[440.15147942 157.16490147],[466.41141343 171.37754933],[483.85845661 134.79389922],[495.65454173 113.67572998],[504.86418505  94.68186908],[439.17661941 167.23238224],[438.41472585 124.71923061],[437.77281255  95.77785654],[438.18623102  65.40335695],[413.10106797 172.02919387],[415.57105198 156.87719569],[426.99727083 187.5098117 ],[435.09538729 203.45213255],[390.68502395 180.14149144],[398.22709935 173.31956292],[412.43162768 194.38780247],[423.76403978 210.83407432]
[370.59240432 240.06045466],[414.62269414 235.40796217],[428.10236174 198.85019608],[413.56457021 168.67237631],[395.89189517 148.30181563],[425.79137244 154.20777657],[443.11755014 119.30565781],[455.72065294  98.05343251],[464.96613779  79.670707  ],[398.07019577 150.67552109],[397.73252348 108.71660076],[399.73655765  77.58886176],[402.03448728  47.09008267],[371.79327488 157.43075936],[377.16864331 140.28550459],[387.95291852 170.11575738],[394.62172206 186.24081293],[349.29909402 168.27945609],[360.077589   160.12955522],[372.18331527 181.00972075],[380.56813115 198.65501116]
[348.24144672 241.93050619],[390.32642806 231.28482195],[402.1495464  193.62171972],[390.47850446 164.94482937],[377.2422944  144.86193729],[401.3201362  153.32223109],[418.24416715 118.15299403],[431.49756079  94.90082787],[441.72438714  74.22002798],[375.88404219 151.35509823],[370.83234823 107.43283641],[371.6879996   77.16156834],[372.550447    46.48031258],[352.55887313 159.66949886],[353.57007032 139.59883619],[363.09460527 171.74907727],[367.84519399 191.89573036],[331.72368659 169.04322784],[336.55736436 157.82199106],[347.00738537 179.31307502],[353.91028845 198.01373009]
[326.84886785 240.44625595],[365.04201054 232.58766369],[375.67581732 200.46946248],[360.98456689 173.13686677],[344.70240785 153.46736062],[381.13227135 153.8355696 ],[396.42460382 122.74075261],[408.96676508 101.26587665],[418.62859968  82.02164629],[355.8494812  152.28895807],[348.93190856 111.01403973],[349.22538216  82.07821917],[348.66566684  55.53347988],[331.87079862 160.61504276],[328.40669883 143.33633685],[337.530606   174.13637179],[342.73485562 192.57890177],[310.89490727 170.76617525],[312.1955206  164.29649833],[320.30412289 186.44880884],[326.07368819 204.23779874]
[310.06327847 253.7836037 ],[344.07086573 240.05425014],[354.49953525 205.81405166],[339.81596482 176.16392006],[325.71826704 153.79457813],[357.97022595 165.47902453],[375.11169015 133.10539785],[386.74371631 110.62071969],[394.80770681  88.1062645 ],[333.44547299 161.70839549],[327.18618751 119.32102488],[326.47406958  88.06451184],[322.61933878  58.53246344],[309.9073825  169.68716182],[308.99744399 151.53554435],[321.53506929 181.32289773],[326.37919599 199.78781739],[288.01597465 180.02689973],[290.396082   167.98742506],[299.14234742 188.10867363],[305.68575532 204.64776164]
[283.73858532 262.76510145],[318.72223413 253.14303795],[331.64418476 222.22431376],[316.19502933 193.75630138],[300.30928483 167.25799551],[338.79812722 177.90012903],[351.86352031 148.68901237],[363.47802758 125.44858244],[372.33304277 103.17512665],[310.79207216 169.94464791],[305.14093225 129.03180179],[304.06344007  95.61924987],[301.49216013  68.03629752],[284.54548957 173.99948157],[278.38213764 160.12022545],[284.40120939 191.14956188],[287.65614866 212.4563604 ],[259.12342843 180.89272013],[254.4102567  169.42288483],[259.80888218 185.62826464],[266.33607242 200.48600093]
[254.18245391 256.77394904],[285.624199   256.32414987],[299.49620093 226.75438529],[281.72806565 199.18252584],[261.64776025 175.22668985],[312.12597717 178.83827054],[325.89947987 145.50130943],[336.64957587 123.29386286],[341.66596938 101.19623447],[284.25605657 172.51232884],[274.99259218 129.86844916],[273.28727354  98.6380239 ],[270.13462766  67.65912055],[257.99200315 176.31956615],[244.98754867 165.80002097],[253.40867098 198.68870203],[259.77758803 213.35223416],[234.02406597 184.07507043],[223.0573485  172.46459161],[229.86612501 192.03999572],[236.85302532 202.95435657]
[233.63472267 266.77818622],[265.24314845 261.32682113],[275.40538453 228.42303156],[256.0742041 203.4981561],[233.47603633 182.31754333],[286.19129066 183.11628583],[301.25569376 150.84885366],[312.08089275 127.82164654],[317.53239112 104.84434497],[261.94635266 175.79315159],[253.71160907 130.63851499],[252.93007849  98.28869418],[249.74021878  66.56878394],[238.99108961 182.34857246],[227.13995831 163.23082828],[235.66527723 192.40578732],[240.00642291 209.85410267],[217.2857211  190.20310273],[207.66240279 173.9554362 ],[212.79520145 193.91026382],[216.69978355 211.32033196]
[222.63668754 265.70425865],[251.17618095 259.3094999 ],[262.03459982 229.65206616],[248.3239828  206.34118018],[226.46400665 182.26831293],[277.96749402 181.62704856],[291.91951704 151.60139744],[302.0447901  128.72270877],[308.37064953 108.4350494 ],[251.27258623 175.38862152],[243.40942699 134.76375182],[239.73833659 103.52718299],[234.57226777  75.90402958],[228.10576981 181.48740325],[219.32740734 165.50217346],[226.8397556  193.50675056],[230.23463549 212.40492173],[205.71518185 189.14150666],[198.08192112 179.55717732],[204.73370578 200.95610518],[210.79943341 219.64425961]
[209.50087546 266.74005438],[236.48649747 262.81274071],[245.13521489 234.19382   ],[231.49984871 210.08994151],[209.23182435 183.52202718],[266.83353854 185.57627137],[280.57495726 154.27975539],[289.43591811 132.09777148],[294.22548225 113.57048718],[239.88142055 178.31397213],[229.90367996 135.47075948],[225.41051676 104.54157893],[219.81401635  78.27098914],[214.67674334 183.05464834],[202.96588356 168.00318935],[208.60681541 197.47623433],[212.37558722 214.46512652],[190.91587691 190.09328904],[181.75142393 180.94141757],[187.57214423 202.51047992],[194.20589825 219.40361564]
[202.64649675 269.14253518],[230.72975298 259.37212319],[239.56887962 229.99520214],[222.5776793  202.00719496],[204.7729968  175.18563811],[251.31103351 184.69176386],[267.31219345 156.07902708],[277.1950041  132.38951183],[284.93030592 112.17730329],[224.11929218 179.00521081],[216.99858957 137.27874228],[211.56379299 106.37896083],[206.92835298  81.21134336],[198.95674813 185.21486741],[191.6206571  169.26188088],[198.950533  200.1815371],[203.56313807 219.82175981],[175.80401405 193.44767799],[170.50496959 184.75237151],[179.3431277 207.4166518],[187.11868303 226.2373218 ]
[185.97125798 264.77466886],[210.39044354 262.63068437],[217.49120812 234.64785798],[203.46416844 209.10530155],[184.58273236 180.70559632],[242.14960584 188.90926321],[254.87637341 157.62917609],[265.85971951 134.62557799],[271.26031673 114.16701871],[215.61841968 182.71243449],[205.41116444 139.06548778],[201.35239385 108.15785958],[196.01417985  80.74281959],[191.10146096 185.96812975],[175.8773127  174.71342375],[181.56190592 205.33755917],[185.84918346 220.90673769],[169.68966083 189.56363242],[158.03045919 183.13435832],[163.05504276 205.11719289],[168.97334848 219.98002611]
[166.0472722  264.52559391],[192.2835644  257.89289479],[201.47753683 226.89636266],[187.93307257 197.8666392 ],[169.08183461 170.98504103],[218.48904534 183.21909388],[232.13352347 154.27700281],[245.29791249 131.09559453],[253.37328861 111.04298291],[192.19840258 178.74488054],[186.91261626 139.91798761],[184.06072147 110.30584028],[178.13974867  85.68096995],[167.56681169 183.32801881],[153.25821609 173.57812154],[162.55137724 204.60218669],[168.74582735 221.04196685],[145.41305283 188.80915374],[136.09541909 182.03407862],[144.08883454 204.54238367],[151.92718798 220.22365939]
